Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance
1,20,0.4536694288253784,0.42429718375205994,0.4307624399662018,0.3517962098121643,10,121.01857936257126,red_fox,0.5480368733406067,grey_fox,0.1706414371728897,kit_fox,0.10978458821773529,Arctic_fox,0.0038879236672073603,red_wolf,0.002219211542978883,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
2,30,0.490975022315979,0.44181323051452637,0.4369162321090698,0.4209916591644287,10,98.55693338429374,red_fox,0.5107383728027344,grey_fox,0.20653167366981506,kit_fox,0.10169679671525955,Arctic_fox,0.00656786747276783,red_wolf,0.0023725288920104504,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
3,40,0.49098658561706543,0.45676058530807495,0.4496757984161377,0.4344024062156677,10,94.44760759798844,red_fox,0.5107387900352478,grey_fox,0.2066687047481537,kit_fox,0.10461355745792389,Arctic_fox,0.0064727854914963245,red_wolf,0.002341757994145155,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
4,50,0.4946514368057251,0.4735046327114105,0.4729863703250885,0.4498024582862854,10,66.43393268470972,red_fox,0.507222056388855,grey_fox,0.21268954873085022,kit_fox,0.09950251132249832,Arctic_fox,0.006707096006721258,red_wolf,0.0025125625543296337,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
5,60,0.5129836201667786,0.4866166114807129,0.48696839809417725,0.46378326416015625,10,34.48620314056442,red_fox,0.4887380599975586,grey_fox,0.21481159329414368,kit_fox,0.10089782625436783,Arctic_fox,0.00591685576364398,red_wolf,0.002778364112600684,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
6,70,0.5005991458892822,0.48830628395080566,0.48964571952819824,0.4659290909767151,10,34.653862586896636,red_fox,0.5011396408081055,grey_fox,0.2088060826063156,kit_fox,0.10574756562709808,Arctic_fox,0.006197827868163586,red_wolf,0.002533740596845746,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
7,80,0.49754565954208374,0.4877801835536957,0.48918041586875916,0.4725084900856018,10,37.7945609245106,red_fox,0.5041462182998657,grey_fox,0.20805276930332184,kit_fox,0.1057162657380104,Arctic_fox,0.006183605641126633,red_wolf,0.0024990104138851166,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
8,90,0.501416027545929,0.49393486976623535,0.49471598863601685,0.48568183183670044,10,22.663769951521264,red_fox,0.5005615949630737,grey_fox,0.2173592895269394,kit_fox,0.09793703258037567,Arctic_fox,0.006788876838982105,red_wolf,0.002556683961302042,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
9,100,0.5089993476867676,0.49808138608932495,0.49826711416244507,0.4880850911140442,10,23.59413831320868,red_fox,0.4928278923034668,grey_fox,0.22123019397258759,kit_fox,0.1017177551984787,Arctic_fox,0.006613004487007856,red_wolf,0.0024912403896450996,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
10,110,0.5239243507385254,0.5054733157157898,0.5005570650100708,0.49642103910446167,10,23.837291953022774,red_fox,0.4777877926826477,grey_fox,0.21981914341449738,kit_fox,0.10959479212760925,Arctic_fox,0.0067365444265306,red_wolf,0.0024000927805900574,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
