Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
1,140,0.0682116150856018,0.045957595109939575,0.04574906826019287,0.02921658754348755,70,139.92473201025734,espresso,0.9327524900436401,cup,0.008193247951567173,plate,0.002957712858915329,bakery,0.0016360810259357095,coffeepot,0.0015906232874840498,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
2,210,0.07902872562408447,0.055740851908922195,0.05351778864860535,0.04222309589385986,70,134.49578853914937,espresso,0.9221213459968567,cup,0.005847192369401455,bakery,0.0021166312508285046,plate,0.0020034858025610447,coffeepot,0.0015294176992028952,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
3,280,0.09342807531356812,0.067168228328228,0.06629142165184021,0.044911861419677734,70,124.72975232595554,espresso,0.9077563285827637,cup,0.01225307397544384,plate,0.003280983306467533,coffeepot,0.002209460362792015,bakery,0.0013465681113302708,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
4,350,0.10173237323760986,0.07356860488653183,0.07218676805496216,0.05784088373184204,70,108.7356775501005,espresso,0.899529755115509,cup,0.0076601398177444935,plate,0.002143210032954812,bakery,0.0020796963945031166,coffeepot,0.0016006187070161104,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
5,420,0.09916490316390991,0.08032650500535965,0.07991191744804382,0.060843825340270996,70,91.30885859978224,espresso,0.9020795226097107,cup,0.01129794679582119,plate,0.0034279045648872852,coffeepot,0.0023702692706137896,bakery,0.0014800415374338627,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
6,490,0.11302018165588379,0.08678486943244934,0.08721935749053955,0.06241816282272339,70,91.79861569010157,espresso,0.8883686065673828,cup,0.01294512115418911,plate,0.004127973690629005,coffeepot,0.002981032943353057,bakery,0.0015899690333753824,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
7,560,0.11068636178970337,0.09352496266365051,0.09381288290023804,0.07032334804534912,70,88.8898559841019,espresso,0.8907368779182434,cup,0.00839187577366829,plate,0.002341213868930936,bakery,0.0022734906524419785,coffeepot,0.0018475663382560015,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
8,630,0.11759155988693237,0.10066591948270798,0.10159888863563538,0.08205682039260864,70,78.68571886478315,espresso,0.8838579058647156,cup,0.01591830514371395,plate,0.004204787779599428,coffeepot,0.0032875477336347103,bagel,0.0014471232425421476,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
9,700,0.12398213148117065,0.10573671758174896,0.10604080557823181,0.08416825532913208,70,78.97339506586952,espresso,0.8775968551635742,cup,0.013889160007238388,plate,0.004357695579528809,coffeepot,0.002765499986708164,bakery,0.0016511492431163788,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
10,770,0.13497525453567505,0.112335704267025,0.11244747042655945,0.09852921962738037,70,78.26831093374186,espresso,0.8665727376937866,cup,0.012471050024032593,plate,0.0047075748443603516,coffeepot,0.002791104605421424,bakery,0.002085550921037793,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
11,840,0.13984429836273193,0.11837910115718842,0.11760464310646057,0.09570413827896118,70,72.44819579401651,espresso,0.8618566989898682,cup,0.01542966440320015,plate,0.004604693967849016,coffeepot,0.0033588605001568794,bakery,0.001711868098936975,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
12,910,0.1456693410873413,0.12649953365325928,0.12687963247299194,0.1032986044883728,70,65.73253583480579,espresso,0.8561686873435974,cup,0.016130462288856506,plate,0.004971612710505724,coffeepot,0.0033447821624577045,chocolate_sauce,0.0018487210618332028,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
13,980,0.15623503923416138,0.13307437300682068,0.13246509432792664,0.09938079118728638,70,59.89686439525748,espresso,0.8456929922103882,cup,0.013081725686788559,plate,0.0047426591627299786,coffeepot,0.003043185221031308,bakery,0.0021705960389226675,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
14,1050,0.16127628087997437,0.13938574492931366,0.1390310525894165,0.11793631315231323,70,57.457390582104395,espresso,0.8407573699951172,cup,0.015305101871490479,plate,0.004973278380930424,coffeepot,0.0034177734050899744,bakery,0.0021151930559426546,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
15,1120,0.16779488325119019,0.14627355337142944,0.14510571956634521,0.12016493082046509,70,52.59502687991674,espresso,0.8342345356941223,cup,0.014447095803916454,plate,0.005308404099196196,coffeepot,0.003217604011297226,bakery,0.0022823282051831484,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
16,1190,0.18322110176086426,0.15540412068367004,0.15689191222190857,0.1335752010345459,70,45.30564160251152,espresso,0.8190869092941284,cup,0.015588532201945782,plate,0.005863549187779427,coffeepot,0.003721072105690837,bakery,0.002440720098093152,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
17,1260,0.18470168113708496,0.15936961770057678,0.15839290618896484,0.13725972175598145,70,41.86438809747512,espresso,0.8175327777862549,cup,0.015501265414059162,plate,0.0056307013146579266,coffeepot,0.003630292136222124,bakery,0.002388638211414218,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
18,1330,0.18393903970718384,0.16584990918636322,0.16658923029899597,0.14353549480438232,70,38.38223870216954,espresso,0.8183166980743408,cup,0.016385285183787346,plate,0.005833333823829889,coffeepot,0.0036868418101221323,bakery,0.002369193360209465,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
19,1400,0.1880791187286377,0.17053422331809998,0.1712915003299713,0.15262305736541748,70,31.80137341609773,espresso,0.8141838908195496,cup,0.014995861798524857,plate,0.0058131348341703415,coffeepot,0.0035541285760700703,bakery,0.0026521901600062847,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
20,1470,0.19106465578079224,0.17747552692890167,0.17764192819595337,0.16178220510482788,70,31.45514109721304,espresso,0.8113540410995483,cup,0.02064329758286476,plate,0.006381474435329437,coffeepot,0.004124022088944912,chocolate_sauce,0.0024032597430050373,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
21,1540,0.1996893286705017,0.18083953857421875,0.1805867850780487,0.16543912887573242,70,32.153979224315606,espresso,0.8028595447540283,cup,0.020527197048068047,plate,0.006446642801165581,coffeepot,0.0042527662590146065,chocolate_sauce,0.0025713746435940266,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
22,1610,0.20494991540908813,0.1820949763059616,0.18259674310684204,0.15972298383712769,70,33.69150616329401,espresso,0.7972812056541443,cup,0.02010941319167614,plate,0.006386164575815201,coffeepot,0.004033736884593964,chocolate_sauce,0.002246108604595065,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
23,1680,0.2093268632888794,0.18719223141670227,0.18756812810897827,0.16542339324951172,70,35.014474428167794,espresso,0.793334424495697,cup,0.01818418689072132,plate,0.007180691231042147,coffeepot,0.004029370378702879,chocolate_sauce,0.002665967447683215,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
24,1750,0.22987163066864014,0.19158685207366943,0.19141626358032227,0.16348987817764282,70,36.159894825092685,espresso,0.772991418838501,cup,0.020376751199364662,plate,0.008124814368784428,coffeepot,0.004440891090780497,chocolate_sauce,0.002854520222172141,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
25,1820,0.2249864935874939,0.19962777197360992,0.19869524240493774,0.1780945062637329,70,36.509000199421756,espresso,0.777880072593689,cup,0.019633162766695023,plate,0.007675953675061464,coffeepot,0.004545679781585932,chocolate_sauce,0.002822867361828685,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
26,1890,0.23402971029281616,0.20555540919303894,0.20277005434036255,0.1873260736465454,70,36.79948936575369,espresso,0.7686187028884888,cup,0.021970247849822044,plate,0.007139282766729593,coffeepot,0.005216544959694147,chocolate_sauce,0.0026725323405116796,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
27,1960,0.22939574718475342,0.21089182794094086,0.20985716581344604,0.19102680683135986,70,36.441341942780866,espresso,0.7731965184211731,cup,0.020721016451716423,plate,0.007457495667040348,coffeepot,0.004458007402718067,chocolate_sauce,0.0025801854208111763,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
28,2030,0.24735665321350098,0.21570587158203125,0.21608871221542358,0.18809890747070312,70,37.67442954006787,espresso,0.7552116513252258,cup,0.021223198622465134,plate,0.007480571512132883,coffeepot,0.004227893427014351,bakery,0.0026719465386122465,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
29,2100,0.24213361740112305,0.21881790459156036,0.21849948167800903,0.1980266571044922,70,38.451697809504445,espresso,0.7608067393302917,cup,0.022234847769141197,plate,0.007036539725959301,coffeepot,0.004508386831730604,chocolate_sauce,0.002921532141044736,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
30,2170,0.26382243633270264,0.22511987388134003,0.22591111063957214,0.19420206546783447,70,38.42257486539585,espresso,0.7398932576179504,cup,0.025304609909653664,plate,0.009679512120783329,coffeepot,0.004733153618872166,chocolate_sauce,0.0037143190857023,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
31,2240,0.26286423206329346,0.23279742896556854,0.23064112663269043,0.20321893692016602,70,39.35692854991279,espresso,0.7402154803276062,cup,0.022680040448904037,plate,0.008189055137336254,coffeepot,0.004997969605028629,chocolate_sauce,0.0030674361623823643,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
32,2310,0.2781020998954773,0.2398253232240677,0.2401924729347229,0.20936065912246704,70,39.01163944154311,espresso,0.7258478999137878,cup,0.026214715093374252,plate,0.009470993652939796,coffeepot,0.005346627905964851,chocolate_sauce,0.003968622535467148,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
33,2380,0.27333760261535645,0.24726775288581848,0.24623259902000427,0.21258068084716797,70,37.32978811562911,espresso,0.7302432060241699,cup,0.02696867100894451,plate,0.009046878665685654,coffeepot,0.0055592735297977924,chocolate_sauce,0.0035388560499995947,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
34,2450,0.28505587577819824,0.25404664874076843,0.2523089051246643,0.229577898979187,70,34.99114247747406,espresso,0.7191463708877563,cup,0.03101256489753723,plate,0.010037392377853394,coffeepot,0.005130280740559101,chocolate_sauce,0.004179005511105061,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
35,2520,0.2873285412788391,0.2591448724269867,0.2580566108226776,0.2234981656074524,70,33.918092769033514,espresso,0.7169848084449768,cup,0.028564514592289925,plate,0.010588634759187698,coffeepot,0.0051177735440433025,chocolate_sauce,0.004345614463090897,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
36,2590,0.29788172245025635,0.26748737692832947,0.26803815364837646,0.23856377601623535,70,33.31352118803207,espresso,0.7064532041549683,cup,0.028203457593917847,plate,0.010745497420430183,coffeepot,0.004875263199210167,chocolate_sauce,0.004351343959569931,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
37,2660,0.30844372510910034,0.2770865261554718,0.27512985467910767,0.22986894845962524,70,33.90011679528617,espresso,0.6968907117843628,cup,0.03616296872496605,plate,0.011722240597009659,coffeepot,0.005733103025704622,chocolate_sauce,0.005296691320836544,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
