Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
1,80,0.06559616327285767,0.046501047909259796,0.0462319552898407,0.031203269958496094,40,137.50190168325895,espresso,0.9351678490638733,cup,0.008188021369278431,plate,0.0016339404974132776,coffeepot,0.0014327372191473842,bakery,0.0012880932772532105,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
2,120,0.08118730783462524,0.055577684193849564,0.05420351028442383,0.037356793880462646,40,128.81113135930036,espresso,0.9196085929870605,cup,0.012553812004625797,plate,0.0017736604204401374,coffeepot,0.0016105828108265996,bakery,0.0014602519804611802,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
3,160,0.07448703050613403,0.06256288290023804,0.062069058418273926,0.05131036043167114,40,113.97672831995563,espresso,0.9262803792953491,cup,0.010859807021915913,plate,0.0016903472132980824,coffeepot,0.0015935034025460482,bakery,0.0013347342610359192,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
4,200,0.0752667784690857,0.06770350784063339,0.0685681402683258,0.0581093430519104,40,101.29804055025184,espresso,0.9254698753356934,cup,0.010147884488105774,plate,0.0017286762595176697,coffeepot,0.0015143537893891335,bakery,0.0012715093325823545,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
5,240,0.08522284030914307,0.07133884727954865,0.0712885856628418,0.06289815902709961,40,101.4978898205172,espresso,0.9160135984420776,cup,0.00998762995004654,plate,0.003288288600742817,coffeepot,0.0023812265135347843,bakery,0.001548497355543077,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
6,280,0.0890040397644043,0.07602979242801666,0.07675406336784363,0.06279122829437256,40,97.56602840107722,espresso,0.9124182462692261,cup,0.010739881545305252,plate,0.003062473377212882,coffeepot,0.0023665588814765215,bakery,0.0014793972950428724,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
7,320,0.09670001268386841,0.0823466032743454,0.08294644951820374,0.06868267059326172,40,95.79026371932805,espresso,0.9048927426338196,cup,0.011330867186188698,plate,0.003149040974676609,coffeepot,0.0024204140063375235,bagel,0.0015872955555096269,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
8,360,0.09511452913284302,0.08555741608142853,0.08706757426261902,0.07149314880371094,40,97.97124183159181,espresso,0.9063369631767273,cup,0.011340582743287086,plate,0.0030602163169533014,coffeepot,0.002436677925288677,bagel,0.0014566992176696658,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
9,400,0.1016039252281189,0.08975544571876526,0.09121835231781006,0.07683563232421875,40,95.40526516473938,espresso,0.8994994759559631,cup,0.012208454310894012,plate,0.0026016845367848873,coffeepot,0.002386208390817046,bakery,0.001780517166480422,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
10,440,0.10230439901351929,0.09286992251873016,0.09280753135681152,0.07569372653961182,40,97.02756158700717,espresso,0.8990052342414856,cup,0.013726447708904743,plate,0.0032683799508959055,coffeepot,0.002824480878189206,bakery,0.0013394261477515101,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
11,480,0.10601049661636353,0.09496279060840607,0.0962059497833252,0.08204060792922974,40,95.19874221176042,espresso,0.8956071734428406,cup,0.012185891158878803,plate,0.0035698506981134415,coffeepot,0.0027756576891988516,bagel,0.0015993390697985888,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
12,520,0.12441462278366089,0.10194897651672363,0.10169333219528198,0.08065944910049438,40,92.00435357388503,espresso,0.8772580623626709,cup,0.014939297921955585,plate,0.004673469346016645,coffeepot,0.0034519799519330263,bagel,0.001668892684392631,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
13,560,0.1296284794807434,0.10784141719341278,0.10937076807022095,0.09247064590454102,40,87.51260651277259,espresso,0.8721213340759277,cup,0.01568254642188549,plate,0.004726439714431763,coffeepot,0.0035481597296893597,bagel,0.0017676731804385781,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
14,600,0.1324283480644226,0.11429629474878311,0.11581164598464966,0.08820986747741699,40,80.10216634744754,espresso,0.8692261576652527,cup,0.016804739832878113,plate,0.005476369056850672,coffeepot,0.003693675622344017,bakery,0.001669319928623736,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
15,640,0.13669747114181519,0.11639900505542755,0.11717525124549866,0.08966302871704102,40,63.33520970234086,espresso,0.8649012446403503,cup,0.01908443681895733,plate,0.005171177443116903,coffeepot,0.004041131120175123,bagel,0.0015908110653981566,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
16,680,0.14006751775741577,0.12184977531433105,0.12146326899528503,0.1037948727607727,40,58.33267569733729,espresso,0.861449658870697,cup,0.021405663341283798,plate,0.0055688973516225815,coffeepot,0.004228446166962385,bagel,0.001530192792415619,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
17,720,0.14723330736160278,0.12751439213752747,0.12797898054122925,0.10615032911300659,40,52.94358892965087,espresso,0.8544345498085022,cup,0.02291303686797619,plate,0.005699272267520428,coffeepot,0.004402658436447382,bagel,0.001666046679019928,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
18,760,0.1478298306465149,0.13215650618076324,0.13263443112373352,0.11890947818756104,40,52.040444562721504,espresso,0.8538641333580017,cup,0.021287525072693825,plate,0.005661621689796448,coffeepot,0.004193563479930162,bagel,0.0017232858808711171,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
