Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
1,200,0.07174479961395264,0.046722933650016785,0.04687783122062683,0.029502034187316895,100,140.7634786311398,espresso,0.9296203851699829,cup,0.008798913098871708,coffeepot,0.001980442786589265,plate,0.0017747038509696722,bagel,0.0013390560634434223,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
2,300,0.0711507797241211,0.05451603978872299,0.05536836385726929,0.03747659921646118,100,137.61020683029693,espresso,0.9299401640892029,cup,0.010299738496541977,plate,0.0017304925713688135,coffeepot,0.0015788564924150705,bakery,0.0011570791248232126,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
3,400,0.07755112648010254,0.06197384372353554,0.061386317014694214,0.04616272449493408,100,128.7732167773747,espresso,0.9234283566474915,cup,0.00926575344055891,bakery,0.0016144542023539543,plate,0.0014444551197811961,coffeepot,0.0014252264518290758,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
4,500,0.0859687328338623,0.06927794963121414,0.0694841742515564,0.04336428642272949,100,123.50601217879128,espresso,0.9151965975761414,cup,0.00813574343919754,plate,0.0018904637545347214,bakery,0.001354725332930684,coffeepot,0.0013480803463608027,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
5,600,0.08824574947357178,0.07362913340330124,0.07504573464393616,0.056784629821777344,100,118.4030857440651,espresso,0.9126713871955872,cup,0.015047077089548111,plate,0.0022976642940193415,coffeepot,0.0020695917773991823,bakery,0.0010235344525426626,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
6,700,0.09375804662704468,0.07749001681804657,0.07702180743217468,0.06014174222946167,100,111.17989528121522,espresso,0.9073824286460876,cup,0.01065895240753889,plate,0.0017980216071009636,bakery,0.0013908803230151534,coffeepot,0.0013394934358075261,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
7,800,0.1020575761795044,0.08179358392953873,0.08188024163246155,0.06294947862625122,100,105.88383524899317,espresso,0.8990916609764099,cup,0.017857301980257034,plate,0.003140606451779604,coffeepot,0.002500755013898015,bagel,0.0011537558166310191,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
8,900,0.10697066783905029,0.08673741668462753,0.08641508221626282,0.0664936900138855,100,101.35674995886015,espresso,0.8943166732788086,cup,0.01801324635744095,plate,0.0031739326659590006,coffeepot,0.0025880339089781046,bagel,0.0012836033711209893,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
9,1000,0.1215253472328186,0.09232793003320694,0.09088394045829773,0.07139420509338379,100,103.38690661008165,espresso,0.8798208832740784,cup,0.021956413984298706,plate,0.0036836140789091587,coffeepot,0.003340846858918667,bagel,0.0013780251611024141,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
10,1100,0.12723273038864136,0.09728860855102539,0.09648433327674866,0.07541966438293457,100,98.64132489841148,espresso,0.8743326663970947,cup,0.01919860765337944,coffeepot,0.003683126298710704,plate,0.003541227662935853,bagel,0.0015462917508557439,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
11,1200,0.12985843420028687,0.1047007367014885,0.10422545671463013,0.08080035448074341,100,92.7527795100573,espresso,0.8717473745346069,cup,0.024968227371573448,plate,0.0046114311553537846,coffeepot,0.0035746595822274685,bagel,0.001619858667254448,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
12,1300,0.13088470697402954,0.11061815917491913,0.11181175708770752,0.09084910154342651,100,86.82703713660422,espresso,0.870715856552124,cup,0.020795270800590515,plate,0.0036098205018788576,coffeepot,0.0035613668151199818,bagel,0.0016125788679346442,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
13,1400,0.13262540102005005,0.11602731794118881,0.1165812611579895,0.09895449876785278,100,86.54908946782152,espresso,0.8689565062522888,cup,0.026105228811502457,plate,0.004311287775635719,coffeepot,0.003624947974458337,bagel,0.001575204893015325,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
14,1500,0.1467524766921997,0.12087079137563705,0.12019944190979004,0.09184324741363525,100,83.78339454452649,espresso,0.8550927042961121,cup,0.02399517595767975,plate,0.004611040465533733,coffeepot,0.004491665866225958,bagel,0.0018727852730080485,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
15,1600,0.1561601758003235,0.12890584766864777,0.12883663177490234,0.11111128330230713,100,81.83110960194031,espresso,0.8457953333854675,cup,0.028928125277161598,plate,0.004880818538367748,coffeepot,0.004548654891550541,chocolate_sauce,0.0019669323228299618,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
16,1700,0.17062723636627197,0.13613727688789368,0.13639506697654724,0.11695903539657593,100,77.05789848301028,espresso,0.8314662575721741,cup,0.032529834657907486,plate,0.005346866324543953,coffeepot,0.004877506755292416,chocolate_sauce,0.0020946201402693987,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
17,1800,0.17375683784484863,0.14026547968387604,0.13857382535934448,0.11600857973098755,100,76.78002086094025,espresso,0.8284291625022888,cup,0.03337275609374046,plate,0.005333331413567066,coffeepot,0.005038592033088207,chocolate_sauce,0.002153326291590929,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
18,1900,0.18269485235214233,0.14964202046394348,0.1470826268196106,0.1183118224143982,100,74.45667687766047,espresso,0.8195117712020874,cup,0.03235533833503723,plate,0.005176841281354427,coffeepot,0.0051672994159162045,chocolate_sauce,0.0021992039401084185,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
19,2000,0.18868684768676758,0.15913276374340057,0.15960606932640076,0.12981075048446655,100,65.86399665073478,espresso,0.8135550618171692,cup,0.030433837324380875,plate,0.005035312380641699,coffeepot,0.004840810317546129,chocolate_sauce,0.0022575659677386284,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
20,2100,0.19582247734069824,0.17107445001602173,0.16963467001914978,0.14204424619674683,100,60.305733035697195,espresso,0.8066415190696716,cup,0.039629872888326645,plate,0.005994375795125961,coffeepot,0.005768614821135998,chocolate_sauce,0.002490595681592822,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
21,2200,0.2104666829109192,0.1816241592168808,0.18182113766670227,0.1495179533958435,100,55.904062459086,espresso,0.7922089695930481,cup,0.0427456758916378,plate,0.006730552297085524,coffeepot,0.006472252309322357,chocolate_sauce,0.00272558256983757,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
22,2300,0.21080684661865234,0.19009734690189362,0.18943539261817932,0.15913736820220947,100,54.7645858159334,espresso,0.7919936776161194,cup,0.04338889941573143,plate,0.006857327185571194,coffeepot,0.006517079658806324,chocolate_sauce,0.002820116002112627,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
23,2400,0.21949851512908936,0.19820937514305115,0.19828477501869202,0.16757380962371826,100,52.36601294605131,espresso,0.783470630645752,cup,0.04145756736397743,plate,0.006337073165923357,coffeepot,0.00619477778673172,chocolate_sauce,0.0029191039502620697,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
24,2500,0.22738373279571533,0.2029602825641632,0.202309250831604,0.17580550909042358,100,55.083033558458354,espresso,0.7752292156219482,cup,0.0424434170126915,plate,0.0053441934287548065,coffeepot,0.005318497307598591,bagel,0.002583450172096491,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
25,2600,0.2363775372505188,0.21143124997615814,0.21088847517967224,0.18316978216171265,100,57.51810805430826,espresso,0.7661255598068237,cup,0.0418672077357769,plate,0.006437975913286209,coffeepot,0.00559057854115963,chocolate_sauce,0.0024832291528582573,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
26,2700,0.2544746398925781,0.2188277691602707,0.21814388036727905,0.19573867321014404,100,57.42724616117599,espresso,0.7485613226890564,cup,0.0564969927072525,plate,0.00852116383612156,coffeepot,0.007123107090592384,chocolate_sauce,0.0030436853412538767,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
27,2800,0.25606000423431396,0.22399580478668213,0.22418051958084106,0.1933135986328125,100,55.64339740555799,espresso,0.7465311884880066,cup,0.04895917326211929,plate,0.006169555243104696,coffeepot,0.005922715645283461,chocolate_sauce,0.0025826613418757915,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
28,2900,0.2618809938430786,0.22832579910755157,0.22808828949928284,0.20471787452697754,100,57.35197804081534,espresso,0.7408432960510254,cup,0.05111235752701759,plate,0.006312437355518341,coffeepot,0.006084132939577103,bagel,0.0026927050203084946,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
29,3000,0.2615494728088379,0.23283809423446655,0.23324236273765564,0.2093692421913147,100,57.38370567058397,espresso,0.742396891117096,cup,0.049705978482961655,plate,0.009031539782881737,coffeepot,0.007277175784111023,chocolate_sauce,0.003951454535126686,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
30,3100,0.26743650436401367,0.238731250166893,0.23900413513183594,0.2057511806488037,100,57.36028469866612,espresso,0.7352249622344971,cup,0.0455828495323658,plate,0.006899925414472818,coffeepot,0.005978698842227459,bagel,0.002596090780571103,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
31,3200,0.2793392539024353,0.24605612456798553,0.24353304505348206,0.21523159742355347,100,56.40427780242024,espresso,0.7238425016403198,cup,0.056451939046382904,plate,0.0076405988074839115,coffeepot,0.007072210777550936,chocolate_sauce,0.0031593756284564734,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
32,3300,0.28416162729263306,0.25375089049339294,0.25453051924705505,0.22237354516983032,100,56.695438496563824,espresso,0.7187443971633911,cup,0.05393014848232269,plate,0.007081196643412113,coffeepot,0.006326618138700724,chocolate_sauce,0.0029375094454735518,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
33,3400,0.2915233373641968,0.26148688793182373,0.26128965616226196,0.23044955730438232,100,56.597027967548186,espresso,0.7111101150512695,cup,0.048415400087833405,plate,0.0068730502389371395,coffeepot,0.006301611661911011,chocolate_sauce,0.0027099172584712505,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
34,3500,0.29688066244125366,0.266679584980011,0.2656148374080658,0.23751091957092285,100,55.39919450302777,espresso,0.7061125040054321,cup,0.051073238253593445,plate,0.0067586880177259445,coffeepot,0.00594066409394145,bagel,0.0030258388724178076,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
35,3600,0.31192076206207275,0.27423012256622314,0.2739710509777069,0.23953849077224731,100,51.11792393387308,espresso,0.6911877393722534,cup,0.05653301253914833,plate,0.007795259356498718,coffeepot,0.007640527095645666,chocolate_sauce,0.0030805878341197968,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
36,3700,0.31069767475128174,0.27916672825813293,0.27763012051582336,0.24617356061935425,100,53.66292341416086,espresso,0.6922505497932434,cup,0.05512692779302597,coffeepot,0.0077245719730854034,plate,0.007456343621015549,chocolate_sauce,0.002957855584099889,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
37,3800,0.32348358631134033,0.2881636917591095,0.2878296375274658,0.24868667125701904,100,53.53029035986963,espresso,0.6797851324081421,cup,0.059953562915325165,plate,0.007942430675029755,coffeepot,0.007657840382307768,chocolate_sauce,0.0033050079364329576,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
38,3900,0.34486114978790283,0.2951591908931732,0.294706255197525,0.26387280225753784,100,52.410192294162556,espresso,0.6581025123596191,cup,0.05716586485505104,plate,0.008519021794199944,coffeepot,0.007905480451881886,chocolate_sauce,0.0030071018263697624,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
