Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
1,80,0.08136671781539917,0.050279129296541214,0.05011430382728577,0.033712804317474365,40,137.26082408821972,espresso,0.9196112155914307,cup,0.009046655148267746,plate,0.004141817335039377,coffeepot,0.002553342841565609,bakery,0.0016239084070548415,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
2,120,0.08239126205444336,0.05983797833323479,0.060962408781051636,0.03726714849472046,40,129.70190763669356,espresso,0.9189603328704834,cup,0.011963591910898685,plate,0.0037821480073034763,coffeepot,0.0018906645709648728,bakery,0.001387260970659554,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
3,160,0.08673536777496338,0.06499405205249786,0.06424900889396667,0.047212183475494385,40,124.9856560573082,espresso,0.9147258996963501,cup,0.011939271353185177,plate,0.004201807547360659,coffeepot,0.002506642835214734,bagel,0.0014479670207947493,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
4,200,0.09695380926132202,0.07441829144954681,0.07468491792678833,0.05351889133453369,40,110.69439419420958,espresso,0.9046854376792908,cup,0.01356526743620634,plate,0.00409033615142107,coffeepot,0.0026817761827260256,bagel,0.001641330774873495,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
5,240,0.10113823413848877,0.08325348794460297,0.08198049664497375,0.07239598035812378,40,99.09345178880076,espresso,0.900436520576477,cup,0.01549316942691803,plate,0.0042878915555775166,coffeepot,0.003141879104077816,bagel,0.0015775414649397135,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
6,280,0.1108822226524353,0.09186053276062012,0.09217527508735657,0.07803529500961304,40,82.13769612973579,espresso,0.8907844424247742,cup,0.017393190413713455,plate,0.004967382177710533,coffeepot,0.003655163338407874,bagel,0.0016702150460332632,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
7,320,0.11323589086532593,0.09831716865301132,0.09900832176208496,0.08376729488372803,40,70.12667701982154,espresso,0.8884307742118835,cup,0.01789991557598114,plate,0.004431592300534248,coffeepot,0.003174780635163188,bagel,0.0016802125610411167,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
8,360,0.12140858173370361,0.10360075533390045,0.10272336006164551,0.0848570466041565,40,67.60745670522559,espresso,0.8805471062660217,cup,0.01804102398455143,plate,0.005205908324569464,coffeepot,0.0037321154959499836,bagel,0.0019379880977794528,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
9,400,0.1268085241317749,0.11057494580745697,0.11053970456123352,0.09765046834945679,40,54.91515868210481,espresso,0.8749594688415527,cup,0.0200445968657732,plate,0.004821917042136192,coffeepot,0.003769022412598133,bagel,0.001775365904904902,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
10,440,0.12357950210571289,0.11226501315832138,0.11238804459571838,0.09733200073242188,40,49.3536263125513,espresso,0.8781766891479492,cup,0.021175140514969826,plate,0.004921147134155035,coffeepot,0.003699778113514185,bagel,0.0017674817936494946,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
11,480,0.13034063577651978,0.11770828813314438,0.11758226156234741,0.10482627153396606,40,39.69976502412288,espresso,0.8715444207191467,cup,0.020476041361689568,plate,0.0053458004258573055,coffeepot,0.0037904167547822,bagel,0.0019076504977419972,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
12,520,0.13215643167495728,0.12205295264720917,0.1227196455001831,0.10746479034423828,40,37.752182642733445,espresso,0.8699719309806824,cup,0.01949094422161579,plate,0.005664222873747349,coffeepot,0.003821341786533594,bagel,0.0021459574345499277,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
13,560,0.14160168170928955,0.12732575833797455,0.1275930404663086,0.11324876546859741,40,37.72576814179082,espresso,0.860732913017273,cup,0.021019909530878067,plate,0.006093104835599661,coffeepot,0.004027323331683874,bagel,0.0023424592800438404,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
14,600,0.13923847675323486,0.12999114394187927,0.13029322028160095,0.11313474178314209,40,37.065884655556985,espresso,0.8627140522003174,cup,0.0220125000923872,plate,0.005013733636587858,coffeepot,0.003717662999406457,bagel,0.0019457483431324363,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
15,640,0.14957350492477417,0.134271502494812,0.1352510154247284,0.11754661798477173,40,38.10178561409326,espresso,0.8524670004844666,cup,0.023176079615950584,plate,0.006005325820297003,coffeepot,0.004018401727080345,bagel,0.00204732408747077,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
16,680,0.15229171514511108,0.13943608105182648,0.1392393708229065,0.12318331003189087,40,39.11528117902298,espresso,0.8495757579803467,cup,0.027683010324835777,plate,0.006047375500202179,coffeepot,0.0044732107780873775,bagel,0.0018844569567590952,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
17,720,0.16324102878570557,0.14399154484272003,0.1451478898525238,0.1240842342376709,40,36.888536029224966,espresso,0.8389662504196167,cup,0.02697291225194931,plate,0.007432817947119474,coffeepot,0.004904874134808779,bagel,0.0021971766836941242,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
18,760,0.16142672300338745,0.14914599061012268,0.15010657906532288,0.12982815504074097,40,36.43104795226564,espresso,0.8404750227928162,cup,0.027506453916430473,plate,0.005083620082587004,coffeepot,0.004511364735662937,bagel,0.0019141949014738202,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
19,800,0.16765952110290527,0.15209686756134033,0.15156984329223633,0.13266664743423462,40,34.182632046885935,espresso,0.8345310091972351,cup,0.0278103519231081,plate,0.0064899190329015255,coffeepot,0.005103363189846277,bagel,0.00220521935261786,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
20,840,0.17137181758880615,0.15494737029075623,0.155708909034729,0.12704628705978394,40,33.897042179950006,espresso,0.8308016657829285,cup,0.030300123617053032,plate,0.00581681402400136,coffeepot,0.004996158182621002,bagel,0.002171875210478902,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
21,880,0.1804700493812561,0.16026869416236877,0.16056928038597107,0.14286118745803833,40,33.29035114639314,espresso,0.8217851519584656,cup,0.02824227698147297,plate,0.007068340666592121,coffeepot,0.004732026252895594,bagel,0.002300841035321355,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
22,920,0.18677520751953125,0.1652824878692627,0.16502854228019714,0.1455935835838318,40,34.10414218200006,espresso,0.8157726526260376,cup,0.026888681575655937,plate,0.006771857384592295,coffeepot,0.004717188887298107,bagel,0.0025385527405887842,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
23,960,0.19510352611541748,0.16912874579429626,0.16767936944961548,0.15477889776229858,40,35.862723912383366,espresso,0.8074714541435242,cup,0.030291777104139328,plate,0.006824439857155085,coffeepot,0.0048413025215268135,bagel,0.002554113045334816,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
24,1000,0.197656512260437,0.17644813656806946,0.1741310954093933,0.1498126983642578,40,36.523634844018105,espresso,0.8049402832984924,cup,0.028573570773005486,plate,0.007367035374045372,coffeepot,0.005946951452642679,bagel,0.0025945790112018585,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
25,1040,0.20578765869140625,0.1834782510995865,0.18592604994773865,0.1407262682914734,40,34.72984291740281,espresso,0.7968270778656006,cup,0.032102927565574646,plate,0.007287885993719101,coffeepot,0.005623636767268181,bagel,0.0026532025076448917,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
26,1080,0.21322190761566162,0.19273951649665833,0.19361913204193115,0.1715604066848755,40,35.129385870115215,espresso,0.7895262837409973,cup,0.03229549154639244,plate,0.007635187357664108,coffeepot,0.005965240765362978,bagel,0.002756403526291251,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
27,1120,0.21761387586593628,0.1990598738193512,0.19868963956832886,0.17924028635025024,40,35.0480403280865,espresso,0.7851249575614929,cup,0.033431608229875565,plate,0.007253750693053007,coffeepot,0.00587174016982317,bagel,0.002751916414126754,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
28,1160,0.22132247686386108,0.20230059325695038,0.20222237706184387,0.1841002106666565,40,33.0526667126571,espresso,0.7813085913658142,cup,0.03335573524236679,plate,0.0078482860699296,coffeepot,0.005612664856016636,bagel,0.0026605103630572557,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
29,1200,0.23350679874420166,0.20591136813163757,0.2028663158416748,0.18515855073928833,40,33.598225181767525,espresso,0.7695874571800232,cup,0.03517046198248863,plate,0.008869748562574387,coffeepot,0.006534811574965715,bagel,0.0030955083202570677,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
30,1240,0.24090152978897095,0.2152385264635086,0.21612703800201416,0.18903350830078125,40,33.2802181756568,espresso,0.7620729804039001,cup,0.037467390298843384,plate,0.009392914362251759,coffeepot,0.006372636184096336,bagel,0.002929552923887968,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
31,1280,0.23713135719299316,0.22200436890125275,0.22225698828697205,0.20175033807754517,40,31.25376721504301,espresso,0.7657111287117004,cup,0.036302123218774796,plate,0.00946944672614336,coffeepot,0.006244511343538761,bagel,0.00287265470251441,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
