,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,515,36120,1.7008670568466189,1.6941931247711182,1.6942527294158936,1.6853978633880615,70,4.536287686079167,washbasin,0.7295972108840942,bathtub,0.1042884811758995,tabby,0.028771562501788136,tiger_cat,0.0261677410453558,tub,0.023441091179847717,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
1,615,43120,1.7011702060699463,1.6956344842910769,1.6959791183471682,1.688815355300903,70,3.692675736488957,washbasin,0.7229523062705994,bathtub,0.10888414084911346,tub,0.03437909483909607,tabby,0.02177540771663189,tiger_cat,0.018925396725535396,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
2,390,27370,1.7014286518096924,1.691863775253296,1.692131280899048,1.68267822265625,70,4.417617567997467,washbasin,0.7289566397666931,bathtub,0.13183942437171936,tub,0.03833064809441567,tabby,0.027550283819437027,tiger_cat,0.026118051260709763,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
3,455,31920,1.7008044719696045,1.6955783367156982,1.6957088708877563,1.6903517246246338,70,4.662274285550309,washbasin,0.7255663871765137,bathtub,0.11502306908369064,tub,0.02533719316124916,tabby,0.02477269060909748,tiger_cat,0.020976923406124115,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
4,328,23030,1.7020738124847412,1.6914373636245728,1.6914671659469604,1.6810650825500488,70,4.966495692602015,washbasin,0.7243561148643494,bathtub,0.11558018624782562,tub,0.04670356214046478,tabby,0.02228732220828533,tiger_cat,0.02021783031523228,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
5,546,38290,1.7005506753921509,1.694222927093506,1.6943979263305664,1.687269926071167,70,5.732318293223826,washbasin,0.720872700214386,bathtub,0.1446753293275833,tub,0.0387316569685936,tabby,0.020374860614538196,tiger_cat,0.013407045975327492,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
6,374,26250,1.7005748748779297,1.6901521682739258,1.6900529861450195,1.6828396320343018,70,5.732606993216074,washbasin,0.7278745174407959,bathtub,0.1271819770336151,tub,0.033200599253177636,tabby,0.02731271274387836,tiger_cat,0.01670914888381958,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
7,636,44590,1.7011237144470217,1.688416600227356,1.6884233951568604,1.6789164543151855,70,5.565652822739136,washbasin,0.7234233617782593,bathtub,0.04871569946408272,shower_curtain,0.023654771968722343,tabby,0.0222758986055851,tiger_cat,0.01958538591861725,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
8,405,28420,1.7004150152206419,1.692739486694336,1.6928753852844238,1.6854946613311768,70,4.749289485452467,washbasin,0.7296025156974792,bathtub,0.09616357833147048,tub,0.031633634120225906,tabby,0.029212558642029762,tiger_cat,0.026030190289020542,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
9,646,45290,1.7005242109298706,1.6924350261688232,1.6922602653503418,1.6823773384094238,70,4.867765927484013,washbasin,0.7174587249755859,bathtub,0.10547564178705217,tub,0.03652416914701462,tabby,0.016926754266023636,bucket,0.015059869736433031,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
