,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,72,5110,1.7201415300369265,1.588509440422058,1.5921461582183838,1.4937326908111572,70,66.7703293975004,washbasin,0.7539926171302795,bathtub,0.10194113105535507,tabby,0.03385316208004952,tub,0.031196525320410732,tiger_cat,0.017001638188958168,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
1,112,7910,1.701120138168335,1.5617477893829346,1.556976318359375,1.4302453994750977,70,61.10674900858793,washbasin,0.7150099277496338,bathtub,0.15711866319179535,tub,0.04461751505732536,tabby,0.013913391157984734,tiger_cat,0.011591453105211258,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
2,99,7000,1.7022823095321655,1.5420081615447998,1.5377421379089355,1.4232960939407349,70,67.061341145336,washbasin,0.7203258872032166,bathtub,0.1434357762336731,tub,0.04852742701768875,tabby,0.01804225333034992,tiger_cat,0.017469314858317375,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
3,102,7210,1.715129017829895,1.6155774593353271,1.6177759170532229,1.5228755474090576,70,61.123975509125,washbasin,0.7519059777259827,bathtub,0.08518198877573012,tabby,0.0368010587990284,tub,0.02810335904359817,tiger_cat,0.025393843650817868,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
4,93,6580,1.7029138803482056,1.5668126344680786,1.5665966272354126,1.4435018301010132,70,57.19544030047665,washbasin,0.7550085186958313,bathtub,0.06896043568849564,tabby,0.052141807973384864,tiger_cat,0.02871079184114933,tub,0.023292997851967808,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
5,102,7210,1.700101017951965,1.5598511695861816,1.5592162609100342,1.4742002487182615,70,55.703743425210035,washbasin,0.7333226203918457,bathtub,0.1056426241993904,tabby,0.03321758657693863,tiger_cat,0.02591245248913765,tub,0.02509650960564613,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
6,88,6230,1.729278802871704,1.598548412322998,1.6006293296813965,1.4363565444946291,70,62.99344225061973,washbasin,0.7638583779335022,bathtub,0.07168906927108765,tabby,0.0345768965780735,tub,0.025179192423820496,bucket,0.019598253071308136,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
7,86,6090,1.7116255760192869,1.5821433067321775,1.58685564994812,1.455681324005127,70,64.45191349335761,washbasin,0.7499862313270569,bathtub,0.08366728574037552,tabby,0.0383484959602356,tub,0.02616528235375881,tiger_cat,0.022425411269068718,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
8,116,8190,1.702904224395752,1.5939058065414429,1.5935039520263672,1.504159927368164,70,64.81096770420717,washbasin,0.7284079194068909,bathtub,0.135454922914505,tub,0.033848825842142105,tabby,0.025503497570753098,tiger_cat,0.017227187752723694,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
9,105,7420,1.7099807262420654,1.6135576963424685,1.6141256093978882,1.5392991304397583,70,73.62757410201995,washbasin,0.7403102517127991,bathtub,0.09927777200937273,tub,0.0334378257393837,tabby,0.03031914122402668,tiger_cat,0.024864466860890392,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
10,497,34860,1.701138973236084,1.6905555725097656,1.6908565759658811,1.6810574531555176,70,9.274292299204378,washbasin,0.7242379784584045,bathtub,0.10264857858419417,tabby,0.023120468482375145,tub,0.020714500918984413,tiger_cat,0.020663172006607056,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
11,273,19180,1.700326681137085,1.6865742206573486,1.6873908042907717,1.6699199676513672,70,9.508153122572649,washbasin,0.725755512714386,bathtub,0.11365605890750885,tub,0.03484119474887848,tabby,0.025453899055719376,tiger_cat,0.019476115703582764,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
12,267,18760,1.7026828527450562,1.688329577445984,1.6877577304840088,1.6690809726715088,70,9.525858979000576,washbasin,0.739221453666687,bathtub,0.08585301786661148,tabby,0.036550115793943405,tiger_cat,0.030689530074596405,tub,0.028888383880257607,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
13,190,13370,1.7002832889556885,1.6828919649124146,1.683037042617798,1.6691231727600098,70,9.718966327630367,washbasin,0.7254137992858887,bathtub,0.12322022765874865,tub,0.03935195505619049,tabby,0.025122735649347302,tiger_cat,0.022284664213657383,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
14,304,21350,1.7088737487792969,1.6840578317642212,1.6836233139038086,1.6641032695770264,70,10.41459788279769,washbasin,0.7380056977272034,bathtub,0.07720396667718887,tabby,0.029102899134159088,tub,0.027992803603410717,tiger_cat,0.02412391826510429,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
15,196,13790,1.7004791498184204,1.6858987808227541,1.6856279373168943,1.6708165407180786,70,10.41106693775115,washbasin,0.7292928695678711,bathtub,0.11010264605283736,tabby,0.02883717231452465,tub,0.027601184323430058,tiger_cat,0.0256362184882164,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
16,322,22610,1.7006142139434814,1.6829407215118408,1.6826543807983398,1.6698623895645142,70,8.761480774795077,washbasin,0.728495717048645,bathtub,0.0956055074930191,tabby,0.027887625619769096,tub,0.0234269630163908,tiger_cat,0.020674861967563633,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
17,236,16590,1.7029552459716797,1.6819599866867063,1.6801092624664309,1.6622793674468994,70,9.95408928972777,washbasin,0.7304095625877379,bathtub,0.10158935189247133,tub,0.030864387750625614,tabby,0.027444655075669292,tiger_cat,0.023020133376121518,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
18,296,20790,1.7017405033111572,1.6857300996780396,1.6859668493270874,1.6689684391021729,70,9.803186303076103,washbasin,0.7346553802490234,bathtub,0.11545857787132265,tabby,0.03287619352340698,tub,0.03091820143163204,tiger_cat,0.02189432457089424,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
19,374,26250,1.7001810073852541,1.6880377531051636,1.6883667707443235,1.6782180070877075,70,8.91067122040479,washbasin,0.7261737585067749,bathtub,0.09780952334403993,tub,0.036225192248821265,tabby,0.026014843955636024,tiger_cat,0.02083755098283291,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,1,5,15
20,106,7490,1.7041442394256592,1.6370266675949097,1.6362251043319702,1.5545804500579834,70,32.11052943443913,washbasin,0.7439098954200745,bathtub,0.0733090490102768,tabby,0.039769936352968216,tub,0.0272351186722517,tiger_cat,0.026177864521741867,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
21,90,6370,1.7064335346221924,1.6283426284790041,1.627708911895752,1.5510525703430176,70,37.66811746238519,washbasin,0.7489171028137207,bathtub,0.0794186145067215,tabby,0.04253486543893814,tub,0.025961320847272876,tiger_cat,0.025753896683454517,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
22,119,8400,1.7134444713592532,1.6471908092498782,1.64632248878479,1.5904488563537598,70,36.85663660933197,washbasin,0.7468556761741638,bathtub,0.08388274908065796,tabby,0.03342152386903763,tub,0.030612345784902576,tiger_cat,0.02380486391484737,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
23,108,7630,1.7005753517150881,1.6554396152496338,1.6562464237213137,1.6022274494171145,70,39.742097723976,washbasin,0.7262008786201477,bathtub,0.11835575848817825,tub,0.029558112844824787,tabby,0.025592627003788948,tiger_cat,0.020772656425833702,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
24,96,6790,1.7288293838500977,1.6491801738739014,1.6499024629592896,1.569434404373169,70,32.070970514669035,washbasin,0.7600428462028503,bathtub,0.07388986647129059,tabby,0.031203489750623706,tiger_cat,0.028775829821825024,tub,0.024590324610471725,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
25,114,8050,1.7137222290039062,1.6591027975082395,1.6548867225646973,1.6031551361083984,70,35.489886935002644,washbasin,0.7525399923324585,bathtub,0.07536859065294266,tabby,0.03878771513700485,tiger_cat,0.026701558381319046,tub,0.02321324497461319,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
26,127,8960,1.7083330154418943,1.6459190845489502,1.6431188583374023,1.5817918777465818,70,33.364738838456866,washbasin,0.7404910326004028,bathtub,0.10270953178405763,tub,0.033070582896471024,tabby,0.032180480659008026,tiger_cat,0.019332591444253918,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
27,126,8890,1.7093851566314695,1.6646369695663452,1.668985366821289,1.6037347316741943,70,35.19063694389927,washbasin,0.7413702011108398,bathtub,0.09569647908210754,tabby,0.031936664134263985,tub,0.029590027406811718,tiger_cat,0.02350929565727711,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
28,90,6370,1.7089087963104248,1.6346603631973269,1.6365071535110474,1.5656099319458008,70,36.829656986947725,washbasin,0.73679518699646,bathtub,0.123555950820446,tub,0.03455893695354462,tabby,0.027870407328009602,tiger_cat,0.02439403161406517,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
29,81,5740,1.7120730876922607,1.6379237174987793,1.635481595993042,1.5565690994262695,70,38.15548885256748,washbasin,0.7469758391380309,bathtub,0.09896184504032136,tabby,0.03489821404218674,tiger_cat,0.02420002967119217,tub,0.021657152101397514,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
30,115,8120,1.710526704788208,1.6461166143417358,1.6471219062805176,1.588825225830078,70,50.53307683750295,washbasin,0.7416108250617981,bathtub,0.10029894858598708,tabby,0.03109643422067165,tub,0.028740376234054562,tiger_cat,0.020440289750695232,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
31,81,5740,1.7124912738800049,1.6279557943344116,1.6303772926330566,1.567657232284546,70,39.35528895857339,washbasin,0.7484558224678041,bathtub,0.09116309881210327,tabby,0.03595700114965439,tub,0.02270326390862465,tiger_cat,0.015794975683093068,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
32,87,6160,1.7101038694381714,1.6251277923583984,1.6200399398803709,1.5547072887420654,70,46.52882494519177,washbasin,0.7526759505271912,bathtub,0.07151849567890167,tabby,0.042571332305669785,tiger_cat,0.03161556273698807,tub,0.02503555081784725,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
33,109,7700,1.703044891357422,1.6425174474716189,1.6468547582626345,1.573255181312561,70,44.77344789016187,washbasin,0.7464969158172607,bathtub,0.10050881654024124,tabby,0.04349268227815628,tiger_cat,0.03042042255401612,tub,0.021136023104190826,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
34,111,7840,1.7037951946258545,1.6170921325683594,1.6191956996917725,1.5574829578399658,70,42.93031420557705,washbasin,0.7328627705574036,bathtub,0.10448887944221497,tub,0.03879401087760925,tabby,0.02901090495288372,tiger_cat,0.01953298971056938,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
35,110,7770,1.7134613990783691,1.6021467447280884,1.6042098999023438,1.5151464939117432,70,43.89853428739402,washbasin,0.7403659224510193,bathtub,0.1161608025431633,tub,0.032943345606327064,tabby,0.026868952438235283,tiger_cat,0.015841053798794746,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
36,119,8400,1.7291581630706787,1.5964967012405396,1.5998950004577637,1.4898574352264404,70,47.63621522215935,washbasin,0.7634190320968628,bathtub,0.07534545660018921,tabby,0.034310098737478256,tub,0.023495547473430637,tiger_cat,0.017718125134706497,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
37,80,5670,1.7015848159790041,1.515432834625244,1.5087751150131226,1.385075330734253,70,51.79049761348775,washbasin,0.7431659698486328,bathtub,0.08588949590921402,tabby,0.041565604507923126,tub,0.02916140668094158,tiger_cat,0.026270417496562004,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
38,109,7700,1.7027115821838381,1.605642318725586,1.6086432933807373,1.4875260591506958,70,40.60633901267572,washbasin,0.7425923347473145,bathtub,0.060941647738218314,tabby,0.039858806878328316,tiger_cat,0.01964878663420677,tub,0.017854776233434674,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
39,125,8820,1.7049393653869631,1.6315548419952393,1.6347815990447998,1.5348516702651978,70,45.982856915678795,washbasin,0.7405561804771423,bathtub,0.11657779663801192,tabby,0.03562942147254944,tub,0.032838188111782074,tiger_cat,0.022628989070653915,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
