,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,96,9700,1.7022262811660769,1.6378823518753052,1.6377321481704712,1.5658729076385498,100,37.672736050760776,washbasin,0.7352244257926941,bathtub,0.10233522206544876,tub,0.03364473581314087,tabby,0.03306970745325088,tiger_cat,0.028684737160801888,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
1,102,10300,1.720653772354126,1.6408897638320925,1.6411697864532468,1.5763614177703855,100,43.3487124008772,washbasin,0.7451665997505188,bathtub,0.13297700881958008,tub,0.02937529608607292,tabby,0.02449390292167664,tiger_cat,0.01775591820478439,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
2,73,7400,1.7024276256561282,1.63409161567688,1.6363495588302612,1.548637866973877,100,44.92531083566002,washbasin,0.7363803386688232,bathtub,0.10424798727035522,tabby,0.03390878811478615,tub,0.028668977320194244,tiger_cat,0.028005676344037056,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
3,102,10300,1.728585720062256,1.6588282585144043,1.6600693464279177,1.5768368244171145,100,37.81555429305456,washbasin,0.7541335225105286,bathtub,0.088620625436306,tub,0.0342467725276947,tabby,0.025522107258439064,tiger_cat,0.0184517502784729,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
4,71,7200,1.701528549194336,1.640439510345459,1.6425628662109375,1.562063217163086,100,34.7417509221658,washbasin,0.7401162385940552,bathtub,0.10933520644903184,tabby,0.03863507509231568,tub,0.028636399656534195,tiger_cat,0.027461165562272072,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
5,83,8400,1.7092041969299316,1.639035701751709,1.6379916667938232,1.5779039859771729,100,38.625733241387685,washbasin,0.7507854104042053,bathtub,0.07881760597229004,tabby,0.04155170544981957,tiger_cat,0.031064661219716076,tub,0.021842390298843384,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
6,91,9200,1.7009134292602541,1.643504619598389,1.6439008712768557,1.5373109579086304,100,39.731061339970715,washbasin,0.7228671312332153,bathtub,0.14446192979812622,tub,0.03653809800744057,tabby,0.021900374442338943,tiger_cat,0.01813371665775776,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
7,75,7600,1.7119617462158203,1.6536650657653809,1.6515734195709229,1.6132149696350098,100,35.703913349609245,washbasin,0.7288077473640442,bathtub,0.14942267537117004,tub,0.042917907238006585,tabby,0.01682096160948276,tiger_cat,0.013088410720229149,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
8,108,10900,1.7029701471328735,1.6484793424606323,1.646934986114502,1.5858278274536133,100,42.52672988220696,washbasin,0.7300621867179871,bathtub,0.12101761996746065,tub,0.03111649304628372,tabby,0.027061769738793373,tiger_cat,0.02141811698675156,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
9,92,9300,1.7083885669708252,1.637214183807373,1.6391708850860596,1.5776593685150146,100,39.05702119797247,washbasin,0.7366792559623718,bathtub,0.10759888589382173,tub,0.02913007326424122,tabby,0.028297897428274155,tiger_cat,0.02290620654821396,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
10,308,3090,1.700671672821045,1.66979718208313,1.668129563331604,1.649843454360962,10,20.445389276697224,washbasin,0.7415096163749695,bathtub,0.10703089088201524,tabby,0.040817990899086,tub,0.026929713785648342,tiger_cat,0.02237880975008011,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
11,370,3710,1.7000722885131836,1.6683273315429688,1.6698206663131714,1.637826442718506,10,19.580159043593046,washbasin,0.73665851354599,bathtub,0.1181478276848793,tub,0.03802655637264252,tabby,0.036574386060237885,tiger_cat,0.016574302688241,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
12,268,2690,1.7007598876953125,1.6644580364227295,1.6620616912841797,1.6431010961532593,10,17.595402307082953,washbasin,0.7346328496932983,bathtub,0.10180480033159256,tabby,0.03386009484529495,tiger_cat,0.03147996217012405,tub,0.030965704470872882,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
13,387,3880,1.700002908706665,1.6386919021606443,1.633044719696045,1.5921893119812012,10,20.452833104081886,washbasin,0.7407969832420349,bathtub,0.1028766930103302,tabby,0.04079064354300499,tiger_cat,0.023172458633780483,tub,0.02205601893365383,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
14,468,4690,1.7002161741256714,1.6620121002197266,1.6707181930541992,1.6202791929244995,10,17.435595585753614,washbasin,0.742634654045105,bathtub,0.0879993736743927,tabby,0.04244985431432724,tub,0.03725825622677803,tiger_cat,0.029949704185128205,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
15,469,4700,1.7111971378326416,1.660739183425903,1.6543076038360596,1.637959122657776,10,22.044672819900192,washbasin,0.7456735372543335,bathtub,0.10568297654390336,tabby,0.034498371183872216,tub,0.027461541816592216,tiger_cat,0.02276032976806164,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
16,342,3430,1.711931228637695,1.6661230325698853,1.6627222299575806,1.6383328437805176,10,22.191654641147156,washbasin,0.7449782490730286,bathtub,0.10832935571670532,tabby,0.033004134893417365,tub,0.03154517337679863,tiger_cat,0.017948264256119728,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
