,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,88,6230,1.7107008695602417,1.6549676656723022,1.655628323554993,1.5951614379882812,70,27.919998058479443,washbasin,0.7428569197654724,bathtub,0.10317161679267883,tub,0.03383036330342293,tabby,0.032185081392526634,tiger_cat,0.027862530201673508,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
1,87,6160,1.7027100324630735,1.65995991230011,1.6580910682678225,1.621276617050171,70,27.066170832140195,washbasin,0.7316045761108398,bathtub,0.11675336211919785,tub,0.030221268534660336,tabby,0.02891072258353233,tiger_cat,0.02447809837758541,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
2,132,9310,1.7006196975708008,1.6512354612350464,1.654199719429016,1.5750832557678225,70,24.1738536633048,washbasin,0.7350407242774963,bathtub,0.08670726418495177,tabby,0.0344073511660099,tub,0.025483561679720882,tiger_cat,0.02326131798326969,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
3,101,7140,1.715982437133789,1.666003704071045,1.6665695905685425,1.6081790924072266,70,27.94770014323161,washbasin,0.7514935731887817,bathtub,0.08455964177846909,tabby,0.0355328768491745,tub,0.030385678634047505,tiger_cat,0.021575942635536197,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
4,92,6510,1.70320725440979,1.6556730270385742,1.6573867797851562,1.5928306579589844,70,27.71060734801605,washbasin,0.7388823628425598,bathtub,0.10417471826076508,tabby,0.03570083901286125,tub,0.034020837396383286,tiger_cat,0.02235747128725052,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
5,83,5880,1.7053999900817869,1.6522778272628784,1.6485525369644165,1.5925636291503906,70,26.055524116711418,washbasin,0.7427037358283997,bathtub,0.0888233482837677,tabby,0.037310261279344566,tiger_cat,0.024828124791383743,tub,0.02378067560493946,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
6,97,6860,1.7045457363128662,1.6497334241867063,1.6499508619308472,1.6068625450134275,70,25.848925244223157,washbasin,0.7316574454307556,bathtub,0.07958652079105377,tabby,0.027100283652544018,tiger_cat,0.025500627234578133,bucket,0.019007172435522083,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
7,82,5810,1.7100383043289185,1.659731388092041,1.6613781452178955,1.5924861431121826,70,31.006057266042856,washbasin,0.737919270992279,bathtub,0.10837719589471816,tub,0.03389354795217514,tabby,0.02790471538901329,tiger_cat,0.016393693163990974,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
8,99,7000,1.7031447887420654,1.6531673669815063,1.6533790826797483,1.5915665626525881,70,31.58594349097635,washbasin,0.7260540127754211,bathtub,0.14231282472610474,tub,0.04154298827052117,tabby,0.022940555587410927,tiger_cat,0.01685669645667076,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
9,69,4900,1.7012343406677246,1.6590484380722046,1.6593017578125,1.6113566160202026,70,31.195488019639612,washbasin,0.7330003976821899,bathtub,0.11031739413738252,tub,0.03638076037168503,tabby,0.03177157789468765,tiger_cat,0.0304303877055645,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
10,114,8050,1.7027527093887331,1.6741544008255005,1.6746208667755127,1.653276443481445,70,20.851682011886858,bathtub,0.71615070104599,tub,0.12854760885238647,washbasin,0.1026272401213646,tabby,0.013438059948384762,tiger_cat,0.010706963017582892,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
11,112,7910,1.71047043800354,1.6661077737808228,1.6692647933959959,1.615710735321045,70,20.88781814618495,washbasin,0.7505075931549072,bathtub,0.07578975707292558,tabby,0.040052365511655814,tiger_cat,0.02831224538385868,tub,0.027328399941325188,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
12,118,8330,1.7056937217712402,1.6584806442260742,1.6589646339416504,1.6254069805145264,70,24.17484810799166,washbasin,0.7342903614044191,bathtub,0.11456149071455002,tub,0.030985824763774875,tabby,0.028589366003870964,tiger_cat,0.02047647349536419,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
13,85,6020,1.7146579027175903,1.6336770057678225,1.631793975830078,1.5565077066421509,70,25.067678905262863,washbasin,0.747498631477356,bathtub,0.09503839910030364,tabby,0.032856740057468414,tub,0.032416868954896934,tiger_cat,0.026072999462485317,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
14,84,5950,1.7105970382690432,1.6674151420593262,1.6671676635742188,1.6395318508148191,70,25.14751805626186,washbasin,0.7457893490791321,bathtub,0.06756591796875,tabby,0.03521274030208588,tiger_cat,0.02687997743487358,tub,0.02055005542933941,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
15,109,7700,1.7229777574539185,1.667170166969299,1.6656194925308228,1.6074104309082031,70,25.85827229816712,washbasin,0.7465879321098328,bathtub,0.10417597740888596,tub,0.027277396991848942,tabby,0.023614602163434032,tiger_cat,0.016802921891212463,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
16,86,6090,1.7097132205963137,1.6454820632934568,1.6454236507415771,1.5892789363861084,70,21.968028323935805,washbasin,0.7416547536849976,bathtub,0.10729601234197617,tub,0.03967946395277977,tabby,0.03190535306930542,tiger_cat,0.022657135501503944,OnePointCrossover,TournamentSelection,15,Projection,UniformIntegerMutation,0.05,5,5,15
