,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,475,9520,1.7027751207351685,1.6553707122802734,1.655679702758789,1.615752339363098,20,34.042500858836156,French_bulldog,0.7760857343673706,pug,0.0733126699924469,Brabancon_griffon,0.008002010174095629,boxer,0.006363786291331053,Boston_bull,0.003088673809543252,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
1,552,11060,1.7078068256378174,1.65016770362854,1.649558663368225,1.6148731708526611,20,33.874222711690585,French_bulldog,0.7799487113952637,pug,0.07214377820491791,boxer,0.005693701561540365,Brabancon_griffon,0.005437498912215233,bull_mastiff,0.004317567218095064,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
2,456,9140,1.7031702995300293,1.6640026569366455,1.6659855842590332,1.6413097381591797,20,35.31798345597739,French_bulldog,0.7813227772712708,pug,0.07815299183130264,Brabancon_griffon,0.007348676212131976,basenji,0.0033866476733237505,boxer,0.003028201404958964,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
3,537,10760,1.7046849727630615,1.6588563919067385,1.6572328805923462,1.6100625991821291,20,34.062228111334626,French_bulldog,0.7676825523376465,pug,0.06299737840890884,boxer,0.012260081246495249,Brabancon_griffon,0.008612765930593014,Boston_bull,0.005761186592280865,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
4,422,8460,1.7012939453125,1.6622364521026611,1.668320894241333,1.6129984855651855,20,24.019587513737488,French_bulldog,0.767805278301239,pug,0.06651092320680617,Brabancon_griffon,0.007982715964317322,boxer,0.006335598416626453,bull_mastiff,0.004155668430030346,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
5,554,11100,1.704885959625244,1.664920449256897,1.6658562421798706,1.6056222915649414,20,31.54419892046727,French_bulldog,0.7697116136550903,pug,0.06482446938753128,boxer,0.013845258392393587,Brabancon_griffon,0.011494658887386322,Boston_bull,0.005518890451639891,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
6,561,11240,1.7149412631988523,1.6574513912200928,1.6554971933364868,1.619634032249451,20,32.05335597730183,French_bulldog,0.7750388979911804,pug,0.0600963905453682,Brabancon_griffon,0.009122113697230816,boxer,0.005523823667317629,Boston_bull,0.003088067518547177,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
7,451,9040,1.7113031148910522,1.6499704122543335,1.6472647190093994,1.6024644374847412,20,37.03099092516101,French_bulldog,0.7735471725463867,pug,0.06224162131547927,Brabancon_griffon,0.008470107801258564,boxer,0.008287116885185242,Boston_bull,0.004969831556081772,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
8,557,11160,1.7017337083816528,1.6393874883651731,1.6398086547851562,1.598514199256897,20,32.42614285941944,French_bulldog,0.7746285200119019,pug,0.07289383560419083,Brabancon_griffon,0.008430073969066143,Boston_bull,0.0032800897024571896,basenji,0.0028670933097600933,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
9,530,10620,1.7093974351882937,1.6222879886627195,1.6195969581604004,1.568210244178772,20,32.26608523656611,French_bulldog,0.7716418504714966,pug,0.062244053930044174,boxer,0.009457021951675415,Brabancon_griffon,0.00779235502704978,basenji,0.004963427782058716,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
