,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,714,50050,1.5898826122283936,1.5849466323852541,1.584939956665039,1.5778154134750366,70,5.123292508734461,French_bulldog,0.6368349194526672,pug,0.04701591283082962,Brabancon_griffon,0.023797985166311264,boxer,0.014793283306062222,Boston_bull,0.013841496780514715,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
1,643,45080,1.7008123397827148,1.695850133895874,1.6960020065307615,1.6886308193206787,70,5.395306083059015,French_bulldog,0.7494645714759827,pug,0.048670068383216865,Brabancon_griffon,0.009735186584293842,boxer,0.0061454796232283115,Boston_bull,0.006030081771314144,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
2,714,50050,1.3608046770095823,1.3547687530517578,1.3543806076049805,1.3462245464324951,70,5.605849870768231,French_bulldog,0.4294855296611786,pug,0.06869854778051376,Brabancon_griffon,0.02821438945829868,basenji,0.017420440912246704,Boston_bull,0.015720948576927185,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
3,714,50050,1.41060209274292,1.405800461769104,1.4056774377822876,1.401883244514465,70,4.56281614351238,French_bulldog,0.4670902192592621,pug,0.05651147663593292,Brabancon_griffon,0.042169462889432914,boxer,0.028752464801073074,Boston_bull,0.012813840061426164,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
4,714,50050,1.109347224235535,1.1060302257537842,1.1062086820602417,1.1029189825057983,70,5.375711221897492,French_bulldog,0.16526547074317932,pug,0.05591890588402748,Brabancon_griffon,0.05454527959227562,boxer,0.034482140094041824,basenji,0.03363867849111557,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
5,511,35840,1.7004486322402954,1.6930910348892212,1.6927921772003174,1.6876919269561768,70,4.674994057680664,Pekinese,0.7449401021003723,pug,0.044495131820440285,Brabancon_griffon,0.03526127338409424,Shih-Tzu,0.02172499895095825,Japanese_spaniel,0.016656095162034038,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
6,714,50050,1.6722702980041504,1.6652059555053709,1.6650779247283936,1.6606487035751345,70,5.285921585393562,Tibetan_terrier,0.6936827301979065,Lhasa,0.025574417784810063,Appenzeller,0.021437276154756543,basenji,0.01946485973894596,pug,0.018788853660225868,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
7,698,48930,1.7010705471038818,1.6954231262207031,1.6951030492782593,1.6913291215896606,70,4.487217376007256,French_bulldog,0.7323781847953796,boxer,0.038244739174842834,pug,0.03130238503217697,Brabancon_griffon,0.020273067057132717,basenji,0.010868278332054615,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
8,656,45990,1.70003080368042,1.6953295469284058,1.6951708793640137,1.6909372806549072,70,4.2117824262594015,French_bulldog,0.737690806388855,pug,0.03760423511266709,Brabancon_griffon,0.015962203964591026,boxer,0.008883456699550152,Boston_bull,0.005773204378783703,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
9,681,47740,1.702059268951416,1.6976060867309568,1.6975947618484497,1.6937355995178225,70,4.159212014159548,French_bulldog,0.7392667531967163,pug,0.03721169754862785,Brabancon_griffon,0.01150469295680523,boxer,0.010378856211900713,Boston_bull,0.0054338881745934495,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
10,246,17290,1.7052477598190308,1.6760133504867554,1.6757367849349976,1.6585466861724854,70,15.984435473035836,Saint_Bernard,0.7159510254859924,pug,0.0106780007481575,Appenzeller,0.008305106312036514,Norwegian_elkhound,0.008094212971627712,Eskimo_dog,0.007884836755692959,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
11,329,23100,1.7006690502166748,1.6862685680389404,1.6871168613433838,1.6710690259933472,70,15.945003625215852,French_bulldog,0.7420730590820312,pug,0.04139088839292526,boxer,0.009386650286614895,Brabancon_griffon,0.009045283310115336,Boston_bull,0.004888975992798804,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
12,317,22260,1.7050235271453855,1.6856199502944946,1.6852476596832275,1.6665122509002686,70,15.57624392656948,French_bulldog,0.7520681023597717,pug,0.047088965773582465,Brabancon_griffon,0.00974668562412262,basenji,0.004970245063304901,boxer,0.004866290371865034,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
13,342,24010,1.7068946361541748,1.6801804304122925,1.6804686784744265,1.6600815057754517,70,15.307697367220108,French_bulldog,0.7469156384468079,pug,0.039978977292776115,Brabancon_griffon,0.011743759736418724,boxer,0.0075439861975610265,Boston_bull,0.006553119979798794,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
14,286,20090,1.701063871383667,1.683887243270874,1.6834224462509155,1.6643115282058716,70,14.989282922060069,French_bulldog,0.746023952960968,pug,0.04498357698321343,boxer,0.013216403312981129,Brabancon_griffon,0.010454610921442507,Boston_bull,0.00724358670413494,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
15,406,28490,1.7122483253479004,1.6884424686431885,1.6883575916290283,1.6695752143859863,70,15.705139922216864,French_bulldog,0.7543373107910156,pug,0.04206899926066399,Brabancon_griffon,0.015188601799309254,boxer,0.005995792336761952,basenji,0.00586642837151885,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
16,343,24080,1.7052875757217407,1.678219437599182,1.6787258386611938,1.6581375598907468,70,16.2135293419341,French_bulldog,0.7456101775169373,pug,0.04035936295986176,Brabancon_griffon,0.013762339018285276,Boston_bull,0.007937690243124962,boxer,0.006170228589326143,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
