,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,196,13790,1.7010902166366575,1.6046109199523926,1.6078131198883057,1.4415051937103271,70,58.69622209693036,Tibetan_terrier,0.7385182976722717,pug,0.037370216101408005,Appenzeller,0.0239915382117033,Brabancon_griffon,0.023520668968558308,basenji,0.021265501156449318,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
1,221,15540,1.7061164379119873,1.5864616632461548,1.5870411396026611,1.4672359228134155,70,56.46048159719634,Tibetan_terrier,0.7288898229598999,pug,0.02271941490471363,Lhasa,0.022633021697402,Appenzeller,0.01942507922649384,Shih-Tzu,0.01722879149019718,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
2,246,17290,1.7175276279449463,1.6312168836593628,1.6319873332977295,1.5558993816375732,70,63.021312423460856,French_bulldog,0.7773982286453247,pug,0.05992770940065384,Brabancon_griffon,0.010097925551235676,boxer,0.009097428992390631,Boston_bull,0.003625073004513979,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
3,217,15260,1.7016124725341797,1.6374696493148804,1.6420630216598509,1.5408155918121338,70,57.2327422865114,French_bulldog,0.7644046545028687,pug,0.0627787783741951,Brabancon_griffon,0.0072911586612463,boxer,0.00506697129458189,basenji,0.004024982452392578,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
4,199,14000,1.702643632888794,1.5806058645248413,1.5832440853118896,1.49734365940094,70,69.00281759553931,French_bulldog,0.7675979137420654,pug,0.06495937705039978,Brabancon_griffon,0.008769135922193527,boxer,0.005606092046946286,bull_mastiff,0.0038083270192146297,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
5,187,13160,1.7154892683029177,1.6336317062377932,1.6340417861938477,1.5571252107620241,70,57.490403722252324,French_bulldog,0.7732058167457581,pug,0.057739920914173126,Brabancon_griffon,0.008047692477703094,boxer,0.005598066374659538,basenji,0.005066625773906708,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
6,123,8680,1.7120943069458008,1.6239912509918213,1.6214474439620972,1.5118786096572876,70,59.48035187495291,Pekinese,0.7640981078147888,pug,0.05198131501674652,Brabancon_griffon,0.04009423777461052,Japanese_spaniel,0.008454262278974056,Shih-Tzu,0.007825826294720173,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
7,166,11690,1.7198703289031982,1.606294870376587,1.6060688495635986,1.5060555934906006,70,68.44799255046411,Tibetan_terrier,0.7470475435256958,pug,0.02727069705724716,basenji,0.022796398028731343,Appenzeller,0.01974749006330967,Brabancon_griffon,0.015004233457148075,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
8,176,12390,1.7259833812713623,1.6127682924270632,1.6124751567840576,1.4970653057098389,70,64.72954333696256,Tibetan_terrier,0.7480873465538025,Appenzeller,0.022067692130804062,basenji,0.02019227109849453,pug,0.01849338598549366,Brabancon_griffon,0.013927585445344448,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
9,225,15820,1.7039650678634644,1.623160719871521,1.6268053054809568,1.5014166831970217,70,57.90691040464161,French_bulldog,0.7775133848190308,pug,0.07352230697870255,Brabancon_griffon,0.007398459129035474,boxer,0.0067566377110779285,basenji,0.005140034481883049,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
