,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,151,15200,1.7164151668548584,1.6592423915863037,1.6611440181732178,1.6100376844406128,100,33.936665620053894,French_bulldog,0.7643649578094482,pug,0.04794028028845787,Brabancon_griffon,0.01067863218486309,Boston_bull,0.0090394401922822,boxer,0.008200062438845634,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
1,196,19700,1.7078022956848145,1.6513289213180542,1.6511645317077637,1.6131806373596191,100,37.91430864261601,French_bulldog,0.7582504153251648,pug,0.05043549463152885,Brabancon_griffon,0.010924429632723331,boxer,0.006906622089445591,basenji,0.00525773735716939,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
2,180,18100,1.7006019353866575,1.665401816368103,1.6652543544769287,1.6209230422973633,100,42.36674665581521,French_bulldog,0.7595790028572083,pug,0.05899381265044212,Brabancon_griffon,0.011226288042962551,boxer,0.006176870316267014,Boston_bull,0.004782572388648987,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
3,155,15600,1.7075424194335938,1.6503430604934692,1.6525568962097168,1.567779302597046,100,38.59400798114899,Tibetan_terrier,0.7278047800064087,Appenzeller,0.020227540284395214,pug,0.0173798855394125,basenji,0.016653476282954216,Brabancon_griffon,0.012547132559120657,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
4,153,15400,1.7014915943145752,1.6032387018203735,1.5995172262191772,1.531802535057068,100,43.79773996362858,Pekinese,0.750169575214386,pug,0.04868099093437195,Brabancon_griffon,0.04222868382930756,Shih-Tzu,0.01521735917776823,Japanese_spaniel,0.012086784467101095,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
5,191,19200,1.7042217254638672,1.6412909030914309,1.6410257816314695,1.5747010707855225,100,36.183087435088225,Tibetan_terrier,0.7292215824127197,Appenzeller,0.02499423362314701,basenji,0.020473605021834373,Lhasa,0.016008708626031876,pug,0.013739357702434065,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
6,140,14100,1.7064580917358398,1.6588211059570312,1.6591790914535522,1.6169379949569702,100,35.847337919135505,French_bulldog,0.770229697227478,pug,0.0638241171836853,Brabancon_griffon,0.007638280279934406,boxer,0.004356722347438335,basenji,0.004244356881827116,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
7,220,22100,1.7058943510055542,1.6556134223937988,1.6573828458786009,1.5648965835571291,100,38.607733291838095,French_bulldog,0.7514145970344543,pug,0.045511815696954734,boxer,0.01523327920585871,Brabancon_griffon,0.013593182899057863,Staffordshire_bullterrier,0.008509207516908646,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
8,183,18400,1.7034673690795898,1.654975175857544,1.6544928550720217,1.6162596940994265,100,35.750568802160274,French_bulldog,0.7542473077774048,pug,0.05073852837085724,Brabancon_griffon,0.012045115232467651,boxer,0.01056576054543257,basenji,0.005287565290927887,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
9,190,19100,1.703837275505066,1.662922501564026,1.6629931926727295,1.6222894191741943,100,36.61681242228604,French_bulldog,0.7581546902656555,pug,0.05431018769741058,Brabancon_griffon,0.007026608567684889,boxer,0.0067351977340877065,Boston_bull,0.00474783917888999,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
10,463,4640,1.701904296875,1.6701574325561523,1.6700252294540403,1.6505018472671509,10,16.784183219411208,French_bulldog,0.7762249708175659,pug,0.07432514429092407,Brabancon_griffon,0.0064567290246486655,basenji,0.0035044602118432517,boxer,0.0034053188282996416,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
11,734,7350,1.7130695581436155,1.6580194234848022,1.6574660539627075,1.608739137649536,10,20.468032024972988,Tibetan_terrier,0.7534553408622742,pug,0.04043581336736679,basenji,0.02285647578537464,Appenzeller,0.0226565133780241,Norwegian_elkhound,0.014942671172320844,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
12,903,9040,1.7083762884140017,1.6783065795898438,1.6778918504714966,1.6503942012786863,10,15.630382205084846,French_bulldog,0.7680907845497131,pug,0.05972579121589661,Brabancon_griffon,0.013482976704835892,boxer,0.009803238324820995,Boston_bull,0.007083531934767962,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
13,420,4210,1.7072441577911377,1.6711181402206419,1.6639983654022217,1.6596291065216064,10,19.29816236799392,Pekinese,0.7849194407463074,pug,0.07769472151994705,Brabancon_griffon,0.029598981142044067,Japanese_spaniel,0.010040836408734322,Shih-Tzu,0.008640813641250134,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
14,3050,30510,1.7039523124694824,1.6847121715545654,1.683542013168335,1.6694623231887815,10,17.659756288162477,standard_schnauzer,0.7396582365036011,Brabancon_griffon,0.035614311695098884,pug,0.01707160472869873,giant_schnauzer,0.014636708423495291,Sealyham_terrier,0.009101508185267448,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
15,676,6770,1.710560321807861,1.6514476537704468,1.647032380104065,1.6036574840545654,10,18.92107921878238,Tibetan_terrier,0.7516462206840515,pug,0.04107135906815529,Appenzeller,0.023578044027090076,basenji,0.019996052607893944,Norwegian_elkhound,0.014317681081593037,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
16,469,4700,1.7015244960784912,1.6822389364242554,1.6826831102371216,1.6636803150177002,10,19.675723169466604,French_bulldog,0.7693412899971008,pug,0.0678439661860466,Brabancon_griffon,0.006469269748777151,bull_mastiff,0.004934609867632389,boxer,0.0047620562836527824,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
17,623,6240,1.7012789249420166,1.6722358465194702,1.6718080043792725,1.647574782371521,10,15.402870860398991,French_bulldog,0.7831697463989258,pug,0.08188280463218689,Brabancon_griffon,0.008793439716100694,boxer,0.00319856102578342,basenji,0.0030553629621863365,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
18,552,5530,1.7195611000061035,1.6913353204727173,1.6889896392822266,1.6603171825408936,10,17.321431426723812,French_bulldog,0.7771711349487305,pug,0.057599835097789764,Brabancon_griffon,0.010591382160782814,boxer,0.003047035308554769,Boston_bull,0.002867856528609991,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
19,555,5560,1.701569676399231,1.661385178565979,1.6606155633926392,1.6342946290969849,10,16.714803033710837,Tibetan_terrier,0.7322025299072266,pug,0.03060166910290718,Appenzeller,0.02644433081150055,Brabancon_griffon,0.02361434884369373,basenji,0.022923700511455536,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
20,345,6920,1.7033138275146484,1.674984574317932,1.6744780540466309,1.6366021633148191,20,24.765648402360377,French_bulldog,0.7644880414009094,pug,0.06117575243115425,Brabancon_griffon,0.008619935251772405,boxer,0.005167040508240461,bull_mastiff,0.004433120135217905,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
21,286,5740,1.702830195426941,1.6700303554534912,1.6722170114517212,1.61297345161438,20,24.889329143486005,Pekinese,0.7662128210067749,pug,0.06338315457105638,Brabancon_griffon,0.03610889613628388,Japanese_spaniel,0.009513785131275654,Shih-Tzu,0.006488983053714037,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
22,332,6660,1.704128623008728,1.6583662033081057,1.6606307029724119,1.6217513084411619,20,24.08926556484265,Tibetan_terrier,0.7256196737289429,pug,0.02149074710905552,Appenzeller,0.01875963807106018,Lhasa,0.01693592593073845,Brabancon_griffon,0.016463259235024452,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
23,317,6360,1.7084457874298096,1.6606776714324951,1.6535413265228271,1.6037845611572266,20,22.803716327223643,Saint_Bernard,0.7280875444412231,pug,0.019640512764453888,Appenzeller,0.011374322697520256,basenji,0.008486215025186539,Norwegian_elkhound,0.00703723868355155,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
24,438,8780,1.702689290046692,1.6586084365844729,1.6584761142730713,1.6289408206939695,20,26.190658762595607,French_bulldog,0.7547007203102112,pug,0.05201226100325584,boxer,0.013641157187521458,Brabancon_griffon,0.012631495483219624,Staffordshire_bullterrier,0.00698558334261179,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
25,557,11160,1.7072242498397827,1.6721656322479248,1.6738269329071045,1.6250712871551514,20,28.214197492604733,French_bulldog,0.7726172208786011,pug,0.06539124995470047,Brabancon_griffon,0.011534089222550392,boxer,0.009860718622803688,basenji,0.004149198066443205,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
26,572,11460,1.7104654312133791,1.6805864572525024,1.68447744846344,1.641889572143555,20,24.065246602524308,French_bulldog,0.769999086856842,pug,0.059532333165407174,Brabancon_griffon,0.006175997667014599,boxer,0.004484760109335184,basenji,0.004375417716801167,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
27,388,7780,1.7031290531158447,1.6703193187713623,1.6698563098907468,1.6373999118804932,20,27.006836199332,French_bulldog,0.7679204344749451,pug,0.0647890642285347,boxer,0.011576484888792038,Brabancon_griffon,0.007455705665051937,basenji,0.004841931629925965,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,5,5,15
