,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,149,10500,1.7073897123336792,1.6703593730926514,1.6711990833282468,1.6356472969055176,70,29.533414132391037,French_bulldog,0.7582173943519592,pug,0.05080302059650421,Brabancon_griffon,0.008818930014967918,boxer,0.006712086033076048,Boston_bull,0.004168032202869654,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
1,133,9380,1.7061532735824585,1.66465163230896,1.6633764505386353,1.63905668258667,70,25.953266087495717,French_bulldog,0.7717046737670898,pug,0.06553345918655397,Brabancon_griffon,0.006806240417063236,basenji,0.004817850887775421,boxer,0.004701219033449888,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
2,140,9870,1.7032918930053709,1.6629844903945925,1.6626403331756592,1.6250976324081419,70,25.226251538334196,French_bulldog,0.7523213028907776,pug,0.04899810254573822,Brabancon_griffon,0.01577351056039333,boxer,0.009712222963571548,Boston_bull,0.005462508648633957,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
3,140,9870,1.7056939601898191,1.6697050333023071,1.6689507961273191,1.6412137746810913,70,28.657751613073525,Pekinese,0.7562459707260132,pug,0.05060100555419922,Brabancon_griffon,0.03250814974308014,Japanese_spaniel,0.011353521607816221,Shih-Tzu,0.011029951274394987,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
4,184,12950,1.7008681297302246,1.6677918434143066,1.6684743165969849,1.6309709548950195,70,28.855820622521147,French_bulldog,0.7559740543365479,pug,0.05509309098124504,Brabancon_griffon,0.014066125266253948,boxer,0.010133889503777029,Boston_bull,0.005485611502081157,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
5,220,15470,1.704945087432861,1.673359513282776,1.674061298370361,1.6342833042144775,70,24.386631901848194,French_bulldog,0.7640435695648193,pug,0.05909966304898263,Brabancon_griffon,0.010474436916410923,boxer,0.009374738670885565,Boston_bull,0.005282038357108831,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
6,108,7630,1.7070432901382446,1.6691118478775024,1.669541597366333,1.6156389713287354,70,24.88709931767799,Pekinese,0.7521640658378601,pug,0.045124009251594537,Brabancon_griffon,0.043758489191532135,Japanese_spaniel,0.013318980112671852,Shih-Tzu,0.01114330254495144,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
7,149,10500,1.70414400100708,1.6746504306793213,1.6753082275390625,1.648040533065796,70,24.57138724065764,French_bulldog,0.7581169605255127,pug,0.053969226777553565,boxer,0.008539590984582901,Brabancon_griffon,0.007518718484789133,Boston_bull,0.004388319794088602,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
8,163,11480,1.7024686336517334,1.670602798461914,1.6692485809326172,1.6381776332855225,70,27.711901686304564,Tibetan_terrier,0.7207959890365601,Lhasa,0.02190856821835041,basenji,0.018314111977815628,Appenzeller,0.017856603488326073,pug,0.015967950224876404,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
9,145,10220,1.7072591781616209,1.6668424606323242,1.6677212715148926,1.6288191080093384,70,28.839978851889292,French_bulldog,0.7719838619232178,pug,0.06468664854764937,Brabancon_griffon,0.010498277842998505,boxer,0.008841962553560734,basenji,0.0043218531645834455,OnePointCrossover,TournamentSelection,10,Projection,UniformIntegerMutation,0.05,5,5,15
