,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,447,8960,1.7158300876617432,1.6244512796401978,1.6249511241912842,1.5143814086914062,20,37.54186854491085,strainer,0.7471765875816345,red_fox,0.03134729713201523,kit_fox,0.030502421781420708,grey_fox,0.0142714474350214,racket,0.0026373488362878557,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
1,650,13020,1.7003066539764404,1.664554238319397,1.6620067358016968,1.6284751892089844,20,30.291599317446412,tiger_cat,0.7086154222488403,tabby,0.04889802634716034,Egyptian_cat,0.041293926537036896,lynx,0.02178806252777576,red_fox,0.008307370357215405,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
2,514,10300,1.7099579572677612,1.670085906982422,1.6726975440979004,1.6210813522338867,20,39.792862103049366,tiger_cat,0.7160628437995911,Egyptian_cat,0.05045227706432343,tabby,0.04376611113548279,lynx,0.020753256976604458,red_fox,0.006106330081820488,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
3,1059,21200,1.7164428234100342,1.6401348114013672,1.6364450454711914,1.6096882820129397,20,37.639585820647504,tiger_cat,0.7257583737373352,Egyptian_cat,0.05537477880716324,tabby,0.035541698336601264,lynx,0.020552417263388637,red_fox,0.009315451607108116,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
4,989,19800,1.7045220136642456,1.6458683013916016,1.6416412591934204,1.595043659210205,20,33.86634517904697,tiger_cat,0.7118933796882629,Egyptian_cat,0.059456676244735725,tabby,0.0371614471077919,lynx,0.030007479712367058,red_fox,0.007369483821094036,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
5,990,19820,1.7121999263763428,1.6726133823394775,1.6751955747604368,1.6247092485427856,20,32.47106864738782,tiger_cat,0.7246602773666382,Egyptian_cat,0.04595087468624115,tabby,0.04050823301076889,lynx,0.019225478172302246,red_fox,0.012461741454899313,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
6,647,12960,1.7012288570404053,1.6630411148071291,1.6622703075408936,1.61307954788208,20,36.2194044517263,tiger_cat,0.7110377550125122,Egyptian_cat,0.04374305903911591,tabby,0.038478203117847436,lynx,0.01796083152294159,grey_fox,0.00981124397367239,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
7,877,17560,1.703705072402954,1.6663246154785156,1.6615581512451172,1.6292123794555664,20,32.965509059028285,tiger_cat,0.7127487659454346,Egyptian_cat,0.0504244863986969,tabby,0.03742155060172081,lynx,0.020935138687491417,red_fox,0.009045558050274849,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
8,763,15280,1.7013134956359863,1.6604406833648682,1.6678569316864014,1.619328856468201,20,35.008372392262785,tiger_cat,0.7145436406135559,Egyptian_cat,0.05339077860116959,tabby,0.0386478528380394,lynx,0.01533225551247597,red_fox,0.01322898268699646,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
9,760,15220,1.7002761363983154,1.6637389659881592,1.6612490415573118,1.6335667371749878,20,29.32558724811308,tiger_cat,0.7080017328262329,Egyptian_cat,0.06547420471906662,tabby,0.052064266055822365,lynx,0.021723037585616112,red_fox,0.0077239200472831735,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,7,5,15
