,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,714,50050,0.9559611082077026,0.9540998339653016,0.9540315866470336,0.9523181915283204,70,4.851428224383213,kit_fox,0.06070563569664955,red_fox,0.060601051896810525,grey_fox,0.059281330555677414,tiger_cat,0.016684962436556816,partridge,0.011260529048740864,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
1,714,50050,0.9767333269119264,0.9756568670272828,0.9756659269332886,0.9743725061416626,70,4.717188396573988,grey_fox,0.04660080000758171,red_fox,0.046428155153989785,kit_fox,0.0461149588227272,tiger_cat,0.023337401449680332,partridge,0.014232570305466654,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
2,714,50050,0.9775418043136596,0.9766632914543152,0.9766925573349,0.9756546020507812,70,4.19895479772404,grey_fox,0.05474163219332695,red_fox,0.05430765450000763,kit_fox,0.05379442870616913,tiger_cat,0.03228659927845001,lynx,0.01476612873375416,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
3,714,50050,0.9972414970397948,0.996672511100769,0.9966294765472412,0.996145725250244,70,5.038548439149012,red_fox,0.02713822014629841,grey_fox,0.02711421437561512,kit_fox,0.02665161900222301,partridge,0.02437123842537403,tiger_cat,0.016464965417981148,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
4,714,50050,0.8736230134963989,0.8723071217536926,0.8723753690719604,0.8700999617576599,70,4.489314900883398,red_fox,0.13290314376354218,grey_fox,0.13228057324886322,kit_fox,0.13144317269325256,Arctic_fox,0.012789207510650158,partridge,0.006517188157886268,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
5,714,50050,0.9050441980361938,0.9035279154777528,0.903472065925598,0.9020996689796448,70,5.12917988685801,red_fox,0.10215311497449876,grey_fox,0.10196443647146224,kit_fox,0.10077987611293793,Arctic_fox,0.012260688468813896,fox_squirrel,0.0071864319033920765,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
6,714,50050,0.9871322512626648,0.9857262969017028,0.9857443571090698,0.9845739006996156,70,4.352348914139167,grey_fox,0.0483035035431385,red_fox,0.048244550824165344,kit_fox,0.04470550641417504,tiger_cat,0.03543199598789215,lynx,0.019611814990639687,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
7,714,50050,0.9034278392791748,0.9015923738479614,0.9016109704971312,0.8995323181152344,70,5.640916017198296,grey_fox,0.10451290756464003,kit_fox,0.10356150567531586,red_fox,0.10340651869773863,Arctic_fox,0.01062881853431463,partridge,0.00795490201562643,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
8,714,50050,0.9376428127288818,0.935729682445526,0.9356380105018616,0.9346879720687866,70,4.627340310220503,grey_fox,0.07348158210515976,red_fox,0.07288985699415207,kit_fox,0.07171434909105301,tiger_cat,0.01112098153680563,Egyptian_cat,0.00866764970123768,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
9,714,50050,0.9172183871269226,0.9156834483146667,0.9156746864318848,0.9143949151039124,70,5.310996587588486,grey_fox,0.09212907403707504,red_fox,0.09211154282093048,kit_fox,0.09152974933385848,Arctic_fox,0.010890957899391651,tiger_cat,0.009350736625492571,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.001,5,5,15
10,714,50050,1.681967854499817,1.6688766479492188,1.6686966419219968,1.6537349224090576,70,15.849383163044903,tiger_cat,0.6891339421272278,tabby,0.0410403273999691,Egyptian_cat,0.033452197909355164,lynx,0.015504500828683375,red_fox,0.007139187306165695,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
11,662,46410,1.7005844116210938,1.6863192319869995,1.6865687370300293,1.6675546169281006,70,15.412219699070086,tiger_cat,0.7054234743118286,tabby,0.044725261628627784,Egyptian_cat,0.02152084745466709,lynx,0.015167663805186747,grey_fox,0.004833905957639217,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
12,596,41790,1.7004413604736328,1.6884355545043943,1.6889344453811646,1.6748008728027344,70,13.66453803696805,tiger_cat,0.705001711845398,tabby,0.05657780170440674,Egyptian_cat,0.03673465177416802,lynx,0.014307632111012937,red_fox,0.004574640654027462,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
13,714,50050,1.2089906930923462,1.2007893323898315,1.2003393173217771,1.1942626237869265,70,15.797404396737607,partridge,0.2253069579601288,ruffed_grouse,0.1137329712510109,grey_fox,0.016333209350705147,red_fox,0.012433847412467005,ptarmigan,0.011672757565975191,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
14,675,47320,1.7028670310974119,1.687572002410889,1.6870969533920288,1.6677913665771484,70,14.995780608944926,tiger_cat,0.7075896263122559,tabby,0.04907499253749848,Egyptian_cat,0.030498946085572243,lynx,0.010345020331442356,grey_fox,0.00468955934047699,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
15,714,50050,1.3775341510772705,1.366638422012329,1.3661844730377195,1.354557991027832,70,15.19802544634201,partridge,0.3896303176879883,ruffed_grouse,0.11923619359731676,ptarmigan,0.012692850083112715,grey_fox,0.012102315202355385,quail,0.008956609293818474,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
16,597,41860,1.7040274143218994,1.686945557594299,1.687225341796875,1.6664539575576782,70,12.381242444034939,tiger_cat,0.7094647884368896,tabby,0.044038627296686166,Egyptian_cat,0.029758209362626083,lynx,0.01647336035966873,grey_fox,0.005471715237945318,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
17,622,43610,1.7035785913467407,1.685900092124939,1.6860973834991455,1.6742898225784302,70,16.086086836534008,tiger_cat,0.7095133066177368,tabby,0.045396748930215836,Egyptian_cat,0.029009161517024037,lynx,0.015757311135530472,red_fox,0.005904949735850096,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.01,5,5,15
