,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,371,26040,1.7062720060348509,1.613495111465454,1.61618971824646,1.5305924415588381,70,70.35540635723036,tiger_cat,0.7140805125236511,Egyptian_cat,0.0559021569788456,tabby,0.05094365403056145,lynx,0.01799074001610279,red_fox,0.007773467339575291,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
1,459,32200,1.7156184911727903,1.605055570602417,1.6095001697540283,1.516690731048584,70,63.3765003975568,tiger_cat,0.7229650020599365,tabby,0.043784499168396,Egyptian_cat,0.036582183092832565,lynx,0.011167884804308414,red_fox,0.007362253963947295,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
2,407,28560,1.7010362148284912,1.6138702630996704,1.6149117946624756,1.5020118951797483,70,63.73571679776261,tiger_cat,0.7102636098861694,Egyptian_cat,0.05557683482766152,tabby,0.050276685506105416,lynx,0.0217569787055254,red_fox,0.00924641080200672,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
3,434,30450,1.705230474472046,1.5987262725830078,1.5911711454391482,1.4745924472808838,70,66.33177961951179,tiger_cat,0.7199683189392091,tabby,0.04254234582185745,Egyptian_cat,0.033262938261032104,red_fox,0.014797041192650797,lynx,0.011140536516904831,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
4,383,26880,1.7061109542846682,1.6362892389297483,1.6375486850738523,1.5710675716400146,70,53.86010302198965,tiger_cat,0.7166411280632019,Egyptian_cat,0.058492042124271386,tabby,0.0468064472079277,lynx,0.022053467109799385,red_fox,0.010554078035056593,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
5,363,25480,1.720977783203125,1.6261621713638306,1.622164249420166,1.5223368406295776,70,66.80424529869542,tiger_cat,0.7285702228546143,Egyptian_cat,0.05716096982359886,tabby,0.05572132021188736,lynx,0.015308510512113571,red_fox,0.00761771947145462,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
6,233,16380,1.7002533674240112,1.4968880414962769,1.488813400268555,1.3156092166900637,70,61.61453715096215,strainer,0.7152448892593384,grey_fox,0.015052073635160925,red_fox,0.013256963342428207,kit_fox,0.011774279177188872,racket,0.00569408992305398,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
7,466,32690,1.7068482637405396,1.5699095726013184,1.5688399076461792,1.4838817119598389,70,66.69113464014815,tiger_cat,0.7163141965866089,tabby,0.05025357380509377,Egyptian_cat,0.03276283666491508,lynx,0.022242572158575058,red_fox,0.00947874877601862,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
8,420,29470,1.7094517946243286,1.605936050415039,1.6087433099746704,1.5144394636154177,70,67.61004255476838,tiger_cat,0.7234067320823669,tabby,0.03591345623135567,Egyptian_cat,0.03271349892020225,lynx,0.020629579201340675,red_fox,0.013898106291890144,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
9,404,28350,1.7020349502563477,1.5990532636642456,1.5939272642135618,1.5282299518585205,70,58.94460573567343,tiger_cat,0.7137192487716675,Egyptian_cat,0.04157453775405884,tabby,0.04095491021871567,lynx,0.01393007580190897,red_fox,0.011662925593554974,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
