,Average fitness,Best fitness,Fitness function uses,Generation,Median fitness,Population size,Predicted class 1,Predicted class 2,Predicted class 3,Predicted class 4,Predicted class 5,Probability 1,Probability 2,Probability 3,Probability 4,Probability 5,Std Population,Worst Fitness,bounded_mutation_function,classes_to_avoid,crossover_function,elitism_count,max_change,mutation_function,mutation_rate,mutation_variance,selection_function,tournament_size
0,1.6362825632095337,1.7087043523788452,16660,237,1.6387243270874023,70,wooden_spoon,espresso,spatula,plate,cup,0.7766634225845337,0.0678887814283371,0.013831710442900658,0.01037123054265976,0.009642185643315315,29.620877025871483,1.5379991531372068,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
1,1.627082347869873,1.7003216743469238,18060,257,1.62774920463562,70,wooden_spoon,espresso,plate,cup,spatula,0.7562867403030396,0.05595796182751656,0.015054025687277315,0.013700442388653757,0.012613232247531414,29.769079947090386,1.566742181777954,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
2,1.615811109542847,1.7119408845901491,23030,328,1.6191753149032593,70,wooden_spoon,espresso,cup,spatula,plate,0.7609477639198303,0.049039382487535484,0.01607804372906685,0.013159017078578472,0.010382162407040596,28.386109990912093,1.5246515274047852,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
3,1.646138072013855,1.7319936752319336,14350,204,1.6501588821411133,70,wooden_spoon,espresso,cup,plate,spatula,0.7845776677131653,0.052609939128160484,0.014906035736203194,0.012605546973645687,0.01089526992291212,29.19137842582425,1.5292282104492188,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
4,1.6010465621948242,1.7589476108551023,18690,266,1.6046648025512695,70,wooden_spoon,espresso,cup,plate,spatula,0.8139465451240541,0.05476110056042671,0.011642172932624815,0.01135745458304882,0.011343956924974918,31.732223026117396,1.4763927459716797,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
5,1.645896315574646,1.7043652534484863,23380,333,1.6466128826141355,70,wooden_spoon,espresso,spatula,plate,cup,0.7511783242225647,0.0468907430768013,0.017205648124217987,0.010542511940002441,0.009507776238024237,33.82812236445882,1.5611655712127686,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
6,1.5943855047225952,1.7042914628982544,29400,419,1.5926666259765625,70,wooden_spoon,espresso,cup,spatula,plate,0.7561945915222168,0.05197276175022125,0.017466658726334572,0.01311715878546238,0.011773365549743177,32.51089976446819,1.514751672744751,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
7,1.613391637802124,1.7005866765975952,23100,329,1.6178394556045532,70,wooden_spoon,espresso,cup,spatula,plate,0.7490237951278687,0.04840938001871109,0.01919708214700222,0.011174010112881659,0.008330208249390125,29.85450937240239,1.504014253616333,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
8,1.6520252227783203,1.7463164329528809,21210,302,1.6568663120269775,70,wooden_spoon,espresso,spatula,cup,plate,0.79034423828125,0.04413389414548874,0.016048602759838104,0.009223952889442444,0.0076578138396143905,30.1866312611185,1.5813956260681152,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
9,1.6237442493438718,1.707305669784546,19810,282,1.628192663192749,70,wooden_spoon,espresso,spatula,cup,plate,0.7772107124328613,0.06993106007575989,0.020073173567652702,0.0110055860131979,0.006984300911426543,34.785100285947905,1.5546655654907229,UniformIntegerMutation,5,OnePointCrossover,0.0,15,Projection,0.05,5,TournamentSelection,4
10,1.6093922853469849,1.7074414491653442,16310,232,1.6133480072021484,70,wooden_spoon,espresso,spatula,cup,plate,0.7665231227874756,0.058989569544792175,0.012039055116474628,0.0119083933532238,0.011260933242738249,26.791745727089552,1.52815842628479,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
11,1.6228665113449097,1.7037802934646606,22050,314,1.6201238632202148,70,wooden_spoon,espresso,plate,cup,spatula,0.7587153315544128,0.05490947514772415,0.029161211103200912,0.016505377367138863,0.013817199505865574,26.91349780550468,1.5033050775527954,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
12,1.145955204963684,1.1886036396026611,50050,714,1.1456432342529297,70,eggnog,espresso,cup,ice_cream,chocolate_sauce,0.2953510284423828,0.10675361752510072,0.07916522026062013,0.01430896297097206,0.011309130117297173,22.697593499950422,1.102122783660889,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
13,1.6293580532073977,1.7015023231506348,17290,246,1.6321264505386353,70,wooden_spoon,espresso,cup,plate,spatula,0.760720431804657,0.0591619648039341,0.0237788949161768,0.010394479148089886,0.009023562073707579,25.812338242078727,1.5585389137268066,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
14,1.6261359453201294,1.7150245904922483,18970,270,1.6270736455917358,70,wooden_spoon,espresso,plate,cup,spatula,0.7718483209609985,0.0568263977766037,0.019701378419995308,0.01543954201042652,0.013110111467540264,27.68285058983566,1.54473876953125,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
15,1.6366186141967771,1.7134480476379397,21140,301,1.6383806467056274,70,wooden_spoon,espresso,cup,spatula,plate,0.7685637474060059,0.055123895406723016,0.02056061290204525,0.01429841760545969,0.009420407004654408,26.286355528818213,1.533253192901611,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
16,1.6342328786849976,1.7017502784729004,24290,346,1.6286880970001218,70,wooden_spoon,espresso,cup,plate,spatula,0.7565416097640991,0.05482187867164612,0.01830853335559368,0.017923986539244652,0.013024386949837208,31.501519375756374,1.5688683986663818,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
17,1.6393753290176392,1.703244686126709,30870,440,1.6413140296936035,70,wooden_spoon,espresso,spatula,plate,cup,0.7554208636283875,0.05218646302819252,0.017464952543377876,0.011727684177458286,0.011482618749141691,28.33989021671164,1.566692352294922,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
18,1.6142507791519165,1.7026724815368652,17640,251,1.6198139190673828,70,wooden_spoon,espresso,cup,spatula,plate,0.7613325119018555,0.058780711144208915,0.012984433211386206,0.01195624750107527,0.011138646863400936,23.308094925935713,1.5071306228637695,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
19,1.60276198387146,1.715139627456665,15610,222,1.6019586324691772,70,wooden_spoon,espresso,spatula,cup,plate,0.7759817838668823,0.06082667410373688,0.014475999400019647,0.01364332903176546,0.012643651105463505,24.637122885115872,1.5045746564865112,UniformIntegerMutation,5,OnePointCrossover,1.0,15,Projection,0.05,5,TournamentSelection,4
20,0.993334412574768,1.0018305778503418,50050,714,0.9924349784851074,70,eggnog,espresso,cup,plate,wooden_spoon,0.056611482053995126,0.05477925017476082,0.05473681911826134,0.016782600432634354,0.013770155608654022,21.99617158487325,0.9861361384391784,UniformIntegerMutation,5,OnePointCrossover,2.0,15,Projection,0.05,5,TournamentSelection,4
21,1.600979566574097,1.7037643194198608,20370,290,1.6039323806762695,70,wooden_spoon,espresso,cup,plate,spatula,0.760450541973114,0.05674745142459869,0.01408196706324816,0.01311655156314373,0.01147365290671587,29.178222603179265,1.528371810913086,UniformIntegerMutation,5,OnePointCrossover,2.0,15,Projection,0.05,5,TournamentSelection,4
22,1.6349188089370728,1.7018122673034668,22260,317,1.6346635818481443,70,wooden_spoon,espresso,cup,plate,spatula,0.7485961318016052,0.04678986966609955,0.02904883213341236,0.01289806328713894,0.012703184969723223,26.523367616559934,1.544605731964111,UniformIntegerMutation,5,OnePointCrossover,2.0,15,Projection,0.05,5,TournamentSelection,4
