,Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
0,277,19460,1.7057833671569824,1.5302003622055054,1.539680004119873,1.3095568418502808,70,56.73001986627047,wooden_spoon,0.7819706201553345,espresso,0.07617869228124619,cup,0.014944585971534254,plate,0.012794575653970242,spatula,0.011230599135160446,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
1,284,19950,1.7404159307479858,1.519906759262085,1.5227278470993042,1.3817484378814695,70,55.40644055093706,wooden_spoon,0.8182393908500671,espresso,0.07775986939668655,cup,0.008853691630065441,spatula,0.008618592284619808,plate,0.007822577841579914,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
2,394,27650,1.705901265144348,1.5585262775421145,1.57135272026062,1.3626165390014648,70,61.74729861054313,wooden_spoon,0.7795010209083557,espresso,0.0735451877117157,spatula,0.012141339480876923,plate,0.009096791036427021,cup,0.008397697471082209,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
3,299,21000,1.7405879497528076,1.5455135107040403,1.5530551671981812,1.3788824081420898,70,53.68593285701947,wooden_spoon,0.8115187883377075,espresso,0.07100005447864532,plate,0.010879077948629856,spatula,0.010048868134617805,cup,0.00777891231700778,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
4,290,20370,1.7365667819976809,1.5173053741455078,1.521023511886597,1.2302956581115725,70,60.73358046568721,wooden_spoon,0.8151415586471558,espresso,0.07851903885602951,plate,0.009774788282811642,cup,0.007919911295175552,spatula,0.007581798825412989,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
5,287,20160,1.724063277244568,1.483919978141785,1.4987967014312744,1.0967116355895996,70,65.43153798340906,wooden_spoon,0.8000918030738831,espresso,0.0759996846318245,plate,0.014803604222834109,cup,0.010540799237787724,spatula,0.009408378973603249,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
6,240,16870,1.726941704750061,1.564732789993286,1.567833662033081,1.400545597076416,70,61.358438971759774,wooden_spoon,0.7947887778282166,espresso,0.06782737374305725,spatula,0.012476867996156216,plate,0.009362841956317423,cup,0.008188290521502495,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
7,235,16520,1.7315781116485596,1.5072648525238037,1.5178215503692627,1.294979691505432,70,62.09209412307774,wooden_spoon,0.8048810362815857,espresso,0.07326345145702362,plate,0.011566638946533205,spatula,0.010005496442317964,cup,0.008170299232006073,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
8,274,19250,1.7028257846832275,1.542097806930542,1.539554238319397,1.3566370010375977,70,59.32364236385986,wooden_spoon,0.7706073522567749,espresso,0.0677243173122406,spatula,0.02285625971853733,plate,0.018494291231036183,cup,0.008057105354964733,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
9,265,18620,1.7155797481536863,1.5174605846405032,1.5137281417846682,1.314525127410889,70,60.435779304931174,wooden_spoon,0.7792491912841797,espresso,0.06363917142152786,plate,0.018152657896280292,cup,0.012784902006387709,spatula,0.008859803900122644,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,10,5,15
